Leaf water potential (MPa)
2.58
2.04
0.71
1.678
2.01
2.876
1.56
1.905
2.31
2.5
3.85
2.42
1.96
3
1.651
1.4
0.438
3.21
2.91
1.39
0.32
0.38
2.356
2.8
0.56
0.75
0.87
0.64
4.217
3.01
