Leaf water potential (MPa)
0.33
3.59
0.49
2.46
0.72
1.51
1.7
1.88
3.56
1.82
2
2.1
3.23
3.23
4.43
1.05
0.38
3.04
1.83
0.9
1.99
1.87
0.85
4.11
4.47
1.94
1.21
3.56
4.97
3.52
1.95
2.62
2.57
1.19
0.49
2.022
0.96
2.1
2.466
2.37
2.45
2.611
2.2
0.55
2.31
0.81
3.31
1.1
1.37
1.52
2.27
1.07
2.38
1.121
0.67
1.74
1.475
1.66
3.6
2.55
1.45
1.81
0.43
2.45
2.95
2.616
0.84
3.99
2.09
0.9
1.31
1.6
2.25
0.42
3.22
0.778
1.56
2.65
4.63
2.39
0.2
1.06
2.25
2.12
2.61
2.65
1.66
2.47
2.676
3.42
