database_name,dataset,seed,identity_balanced_accuracy,aom_balanced_accuracy,identity_macro_f1,aom_macro_f1,identity_log_loss,aom_log_loss,identity_ece_10_equal_width,aom_ece_10_equal_width,identity_balanced_accuracy_unique_test_spectra,aom_balanced_accuracy_unique_test_spectra,identity_log_loss_unique_test_spectra,aom_log_loss_unique_test_spectra,identity_selected_k,aom_selected_k,identity_cv_balanced_log_loss,aom_cv_balanced_log_loss,aom_selected_operator,delta_balanced_accuracy,delta_log_loss
ARABIDOPSIS_CEFE,Genotype10_250,0,0.4472222222222222,0.4388888888888888,0.4278692050983072,0.4212636877786965,2.1582388259945096,2.1589795938492613,0.329319765924232,0.3422066824718592,0.4472222222222222,0.4388888888888888,2.1582388259945096,2.1589795938492613,15,15,2.12570525313824,2.1210279507668384,detrend_d1,-0.008333333333333415,0.0007407678547517449
ARABIDOPSIS_CEFE,Genotype10_250,1,0.4472222222222222,0.4833333333333333,0.4278692050983072,0.4643278290337114,2.1582388259945096,2.1607006292463424,0.329319765924232,0.3826589087479615,0.4472222222222222,0.4833333333333333,2.1582388259945096,2.1607006292463424,15,15,2.1281181077873064,2.120200059609833,detrend_d2,0.036111111111111094,0.0024618032518328725
ARABIDOPSIS_CEFE,Genotype10_250,2,0.4472222222222222,0.4388888888888888,0.4278692050983072,0.4212636877786965,2.1582388259945096,2.1589795938492613,0.329319765924232,0.3422066824718592,0.4472222222222222,0.4388888888888888,2.1582388259945096,2.1589795938492613,15,15,2.12242339247315,2.116738710522958,detrend_d1,-0.008333333333333415,0.0007407678547517449
ARABIDOPSIS_CEFE,Group_2185,0,0.2807026237921713,0.2732254309674351,0.2243962514640673,0.2168930935096968,2.261534106481694,2.2589549186385933,0.1266629497308301,0.1199519050674634,0.2807026237921713,0.2732254309674351,2.2613361321432883,2.2587302953014343,15,15,2.235756665410102,2.234853938816588,sg_d1_w21_p3,-0.00747719282473619,-0.0025791878431005166
ARABIDOPSIS_CEFE,Group_2185,1,0.2807026237921713,0.2732254309674351,0.2243962514640673,0.2168930935096968,2.261534106481694,2.2589549186385933,0.1266629497308301,0.1199519050674634,0.2807026237921713,0.2732254309674351,2.2613361321432883,2.2587302953014343,15,15,2.2342556192820973,2.233748182714169,sg_d1_w21_p3,-0.00747719282473619,-0.0025791878431005166
ARABIDOPSIS_CEFE,Group_2185,2,0.2807026237921713,0.2807026237921713,0.2243962514640673,0.2243962514640673,2.261534106481694,2.261534106481694,0.1266629497308301,0.1266629497308301,0.2807026237921713,0.2807026237921713,2.2613361321432883,2.2613361321432883,15,15,2.2342445143815794,2.2342445143815794,identity,0.0,0.0
ARABIDOPSIS_CEFE,InOut_1264,0,1.0,1.0,1.0,1.0,0.5194663678383202,0.515530589614417,0.404379470162136,0.4020892560577628,1.0,1.0,0.5232836358471346,0.5180842134951515,15,15,0.5204751592873081,0.514943326944806,sg_d1_w21_p3,0.0,-0.00393577822390323
ARABIDOPSIS_CEFE,InOut_1264,1,1.0,1.0,1.0,1.0,0.5194663678383202,0.515530589614417,0.404379470162136,0.4020892560577628,1.0,1.0,0.5232836358471346,0.5180842134951515,15,15,0.5224275130252669,0.5147795798926682,sg_d1_w21_p3,0.0,-0.00393577822390323
ARABIDOPSIS_CEFE,InOut_1264,2,1.0,1.0,1.0,1.0,0.5194663678383202,0.515530589614417,0.404379470162136,0.4020892560577628,1.0,1.0,0.5232836358471346,0.5180842134951515,15,15,0.5165933583297306,0.5139773643440779,sg_d1_w21_p3,0.0,-0.00393577822390323
BEEF_Impurity,Beef_Impurity_60_AlJowder,0,0.9333333333333332,0.9333333333333332,0.9328671328671329,0.9328671328671329,1.1264287428890436,1.1264287428890436,0.5927030216927663,0.5927030216927663,0.9333333333333332,0.9333333333333332,1.1264287428890436,1.1264287428890436,15,15,1.1609177042017176,1.1609177042017176,identity,0.0,0.0
