database_name,dataset,identity_balanced_accuracy,aom_balanced_accuracy,identity_macro_f1,aom_macro_f1,identity_log_loss,aom_log_loss,identity_ece_10_equal_width,aom_ece_10_equal_width,identity_balanced_accuracy_unique_test_spectra,aom_balanced_accuracy_unique_test_spectra,identity_log_loss_unique_test_spectra,aom_log_loss_unique_test_spectra,identity_selected_k,aom_selected_k,identity_cv_balanced_log_loss,aom_cv_balanced_log_loss,delta_balanced_accuracy,delta_log_loss,n_seeds,aom_selected_operator_counts_json
ARABIDOPSIS_CEFE,Genotype10_250,0.4472222222222222,0.45370370370370355,0.4278692050983072,0.4356184015303681,2.1582388259945096,2.1595532723149553,0.329319765924232,0.35569075789722665,0.4472222222222222,0.45370370370370355,2.1582388259945096,2.1595532723149553,15.0,15.0,2.125415584466232,2.1193222402998764,0.0064814814814814214,0.0013144463204454542,3,"{""detrend_d1"": 2, ""detrend_d2"": 1}"
ARABIDOPSIS_CEFE,Group_2185,0.2807026237921713,0.2757178285756805,0.2243962514640673,0.21939414616115363,2.261534106481694,2.259814647919627,0.1266629497308301,0.12218891995525229,0.2807026237921713,0.2757178285756805,2.2613361321432883,2.259598907582052,15.0,15.0,2.2347522663579262,2.2342822119707786,-0.004984795216490793,-0.001719458562067011,3,"{""identity"": 1, ""sg_d1_w21_p3"": 2}"
ARABIDOPSIS_CEFE,InOut_1264,1.0,1.0,1.0,1.0,0.5194663678383202,0.515530589614417,0.404379470162136,0.40208925605776286,1.0,1.0,0.5232836358471346,0.5180842134951515,15.0,15.0,0.519832010214102,0.5145667570605174,0.0,-0.00393577822390323,3,"{""sg_d1_w21_p3"": 3}"
BEEF_Impurity,Beef_Impurity_60_AlJowder,0.9333333333333332,0.911111111111111,0.9328671328671329,0.9131235431235432,1.1264287428890436,1.141497563715921,0.5927030216927663,0.5845366138964034,0.9333333333333332,0.911111111111111,1.1264287428890436,1.141497563715921,15.0,14.666666666666666,1.1866310553857915,1.171865322556141,-0.022222222222222216,0.01506882082687729,3,"{""detrend_d2"": 1, ""identity"": 1, ""sg_smooth_w11_p2"": 1}"
COFFEE_orig,CoffeeType_kenstone70_strat,0.9523809523809524,0.9523809523809524,0.9510204081632652,0.9510204081632652,1.417415254698135,1.4248394717992616,0.7073192820373935,0.7083605496024526,0.9523809523809524,0.9523809523809524,1.417415254698135,1.4248394717992616,14.666666666666666,14.666666666666666,1.4396944687113298,1.431685142328481,0.0,0.0074242171011268026,3,"{""sg_smooth_w21_p3"": 3}"
COFFEE_sp,Species_56_Bagnall,1.0,1.0,1.0,1.0,0.524775196101738,0.5181810964072625,0.40778832206467275,0.40382539883016255,1.0,1.0,0.524775196101738,0.5181810964072625,4.666666666666667,11.666666666666666,0.5277945486393082,0.517134290611316,0.0,-0.0065940996944754415,3,"{""sg_d1_w11_p2"": 1, ""sg_smooth_w21_p3"": 2}"
Cassava,CT2C_1057_CIAT_Acc,0.5,0.4611111111111111,0.3888888888888888,0.37227251728955996,0.7146230536378995,0.7159301517307499,0.104275502630164,0.14315068340078071,0.5,0.4611111111111111,0.7146230536378995,0.7159301517307499,15.0,15.0,0.6481271980186948,0.647197126978482,-0.03888888888888894,0.0013070980928503821,3,"{""detrend_d1"": 2, ""sg_d1_w21_p3"": 1}"
FruitPuree,Strawberry2C_983_Holland_Acc94.3,0.9547783039173484,0.9591261300043049,0.946362098138748,0.9497956985841437,0.5411097167400026,0.5346481132439967,0.3620330961449141,0.36183317004384935,0.9547783039173484,0.9591261300043049,0.5411097167400026,0.5346481132439967,15.0,15.0,0.5422400449737649,0.5375070361900148,0.004347826086956386,-0.0064616034960058855,3,"{""fd_d1"": 3}"
MALARIA,Oocist2C_333_Maia_Acc87.6,0.5251572327044025,0.5471698113207547,0.5250309688004392,0.5445757250268529,0.697947078560086,0.6920479790992973,0.0379664075717656,0.0330631140786912,0.5251572327044025,0.5471698113207547,0.697947078560086,0.6920479790992973,14.666666666666666,15.0,0.5760438258079582,0.556326020586329,0.022012578616352196,-0.005899099460788593,3,"{""sg_d1_w21_p3"": 3}"
MALARIA,Sporozoite2C_229_Maia_Acc94.5,0.594532279314888,0.5111989459815547,0.5265829209491182,0.47263026341436554,0.9646332414433382,0.8298282607690229,0.33740448904652176,0.2559609677680723,0.594532279314888,0.5111989459815547,0.9646332414433382,0.8298282607690229,13.666666666666666,13.333333333333334,0.5648682036314332,0.5462998285080048,-0.0833333333333333,-0.13480498067431515,3,"{""sg_d1_w21_p3"": 3}"
MILK,labels_kenstone70_strat,0.8444444444444446,0.8419753086419753,0.8473596572719057,0.843574588889651,1.802105346451737,1.8037960486168956,0.6743859475091588,0.672212070774712,0.8444444444444446,0.8419753086419753,1.802105346451737,1.8037960486168956,15.0,15.0,1.8109198200591419,1.8104007445434516,-0.0024691358024691765,0.0016907021651582828,3,"{""identity"": 2, ""sg_smooth_w21_p3"": 1}"
