comparison,subset,n,median_ratio,ci95_low,ci95_high,wins,losses,ties,wilcoxon_raw_two_sided_p
AOM-PLS simple vs PLS-default,largest_pair_all,52,0.9958511061162153,0.9759024085217392,1.0037418679576704,32,20,0,0.13059793822046767
AOM-PLS simple vs PLS-default,headline_strict_N32_included,32,0.9907697548176845,0.9697083180756172,0.9999650626252552,22,10,0,0.0837108832783997
AOM-PLS simple vs PLS-default,headline_excluded_but_pair_available,20,0.9997879052131847,0.9751041184973501,1.0138963207613685,10,10,0,0.9272785186767578
AOM-PLS simple vs PLS-default,method_hpo_success,32,0.9907697548176845,0.9697083180756172,0.9999650626252552,22,10,0,0.0837108832783997
AOM-PLS simple vs PLS-default,method_hpo_no_success,20,0.9997879052131847,0.9751041184973501,1.0138963207613685,10,10,0,0.9272785186767578
AOM-PLS simple vs PLS-default,method_hpo_attempted,32,0.9907697548176845,0.9697083180756172,0.9999650626252552,22,10,0,0.0837108832783997
AOM-PLS simple vs PLS-default,method_hpo_not_attempted,20,0.9997879052131847,0.9751041184973501,1.0138963207613685,10,10,0,0.9272785186767578
AOM-Ridge simple vs Ridge-default,largest_pair_all,52,0.9735006203002378,0.9506274987075125,0.9909761845534499,41,11,0,1.044511210749909e-05
AOM-Ridge simple vs Ridge-default,headline_strict_N32_included,32,0.9735006203002378,0.8685967074633368,0.9929903993499164,25,7,0,0.00030640000477433205
AOM-Ridge simple vs Ridge-default,headline_excluded_but_pair_available,20,0.9773906536213388,0.9506274987075125,0.9935541698843885,16,4,0,0.00365447998046875
AOM-Ridge simple vs Ridge-default,method_hpo_success,34,0.9735006203002378,0.9208979119751719,0.9930390158527732,26,8,0,0.0002281336346641183
AOM-Ridge simple vs Ridge-default,method_hpo_no_success,18,0.9773906536213388,0.9506274987075125,0.9935541698843885,15,3,0,0.0055999755859375
AOM-Ridge simple vs Ridge-default,method_hpo_attempted,34,0.9735006203002378,0.9208979119751719,0.9930390158527732,26,8,0,0.0002281336346641183
AOM-Ridge simple vs Ridge-default,method_hpo_not_attempted,18,0.9773906536213388,0.9506274987075125,0.9935541698843885,15,3,0,0.0055999755859375
