dataset,source_family,domain_group,n_train,n_test,n_features,p_over_n_train,status,runner_eligible,eligible_order,hpo_family,attempted_n_seeds,successful_n_seeds,hpo_result
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,45.0,Ridge,0,0,not_attempted
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,46.0,Ridge,0,0,not_attempted
All_manure_Total_N_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,47.0,Ridge,0,0,not_attempted
Milk_Fat_1224_KS,MILK,dairy,181.0,221.0,255.0,1.408839779005525,ok,True,48.0,Ridge,0,0,not_attempted
Milk_Lactose_1224_KS,MILK,dairy,856.0,368.0,255.0,0.2978971962616822,ok,True,49.0,Ridge,0,0,not_attempted
Milk_Urea_1224_KS,MILK,dairy,856.0,368.0,255.0,0.2978971962616822,ok,True,50.0,Ridge,0,0,not_attempted
Brix_spxy70,PEACH,fruit-quality,35.0,15.0,600.0,17.142857142857142,ok,True,51.0,Ridge,0,0,not_attempted
LP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,52.0,Ridge,0,0,not_attempted
MP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,53.0,Ridge,0,0,not_attempted
NP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,54.0,Ridge,0,0,not_attempted
Pi_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,55.0,Ridge,0,0,not_attempted
V25_spxyG,PHOSPHORUS,leaf-physiology,168.0,82.0,2101.0,12.50595238095238,ok,True,56.0,Ridge,0,0,not_attempted
Firmness_spxy70,PLUMS,fruit-quality,28.0,12.0,600.0,21.428571428571427,ok,True,57.0,Ridge,0,0,not_attempted
Quartz_spxy70,QUARTZ,mineral,212.0,91.0,1500.0,7.075471698113208,missing_data,False,,Ridge,0,0,not_attempted
Escitalopramt_310_Zhao,TABLET,pharmaceutical,207.0,103.0,404.0,1.9516908212560389,ok,True,58.0,Ridge,0,0,not_attempted
WOOD_Density_402_Olale,WOOD_density,wood-product,216.0,186.0,1038.0,4.805555555555555,ok,True,59.0,Ridge,0,0,not_attempted
WOOD_N_402_Olale,WOOD_density,wood-product,216.0,186.0,1038.0,4.805555555555555,ok,True,60.0,Ridge,0,0,not_attempted
