dataset,source_family,domain_group,n_train,n_test,n_features,p_over_n_train,status,runner_eligible,eligible_order,hpo_family,attempted_n_seeds,successful_n_seeds,hpo_result
ALPINE_P_291_KS,ALPINE,leaf-physiology,247.0,44.0,2151.0,8.708502024291498,ok,True,1.0,PLS,3,3,success_all_3_seeds
Rice_Amylose_313_YbasedSplit,AMYLOSE,crop-grain,203.0,110.0,1154.0,5.684729064039409,ok,True,2.0,PLS,3,3,success_all_3_seeds
Beef_Marbling_RandomSplit,BEEFMARBLING,meat-quality,554.0,278.0,331.0,0.5974729241877257,ok,True,3.0,PLS,3,3,success_all_3_seeds
Beer_OriginalExtract_60_KS,BEER,beverage,40.0,20.0,576.0,14.4,ok,True,4.0,PLS,3,3,success_all_3_seeds
Beer_OriginalExtract_60_YbaseSplit,BEER,beverage,40.0,20.0,576.0,14.4,ok,True,5.0,PLS,3,3,success_all_3_seeds
brix_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,1434.0,699.0,2101.0,1.4651324965132495,ok,True,6.0,PLS,3,3,success_all_3_seeds
ph_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,912.0,489.0,2101.0,2.303728070175439,ok,True,7.0,PLS,3,3,success_all_3_seeds
ta_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,912.0,489.0,2101.0,2.303728070175439,ok,True,8.0,PLS,3,3,success_all_3_seeds
Biscuit_Fat_40_RandomSplit,BISCUIT,food-product,40.0,32.0,700.0,17.5,ok,True,9.0,PLS,3,3,success_all_3_seeds
Biscuit_Sucrose_40_RandomSplit,BISCUIT,food-product,40.0,32.0,700.0,17.5,ok,True,10.0,PLS,3,3,success_all_3_seeds
C_woOutlier,COLZA,crop-seed,1210.0,1209.0,1154.0,0.9537190082644628,ok,True,11.0,PLS,3,3,success_all_3_seeds
N_wOutlier,COLZA,crop-seed,1220.0,1207.0,1154.0,0.9459016393442624,ok,True,12.0,PLS,3,3,success_all_3_seeds
N_woOutlier,COLZA,crop-seed,1205.0,1207.0,1154.0,0.957676348547718,ok,True,13.0,PLS,3,3,success_all_3_seeds
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,crop-grain,64.0,16.0,700.0,10.9375,ok,True,14.0,PLS,3,3,success_all_3_seeds
Corn_Starch_80_ZhengChenPelegYbaseSplit,CORN,crop-grain,64.0,16.0,700.0,10.9375,ok,True,15.0,PLS,3,3,success_all_3_seeds
DIESEL_bp50_246_b-a,DIESEL,petroleum,113.0,113.0,401.0,3.5486725663716814,ok,True,16.0,PLS,3,3,success_all_3_seeds
DIESEL_bp50_246_hla-b,DIESEL,petroleum,133.0,113.0,401.0,3.0150375939849625,ok,True,17.0,PLS,3,3,success_all_3_seeds
DIESEL_bp50_246_hlb-a,DIESEL,petroleum,133.0,113.0,401.0,3.0150375939849625,ok,True,18.0,PLS,3,3,success_all_3_seeds
Rd25_CBtestSite,DarkResp,leaf-physiology,324.0,146.0,2151.0,6.638888888888889,ok,True,19.0,PLS,3,3,success_all_3_seeds
Rd25_GTtestSite,DarkResp,leaf-physiology,297.0,173.0,2151.0,7.242424242424242,ok,True,20.0,PLS,3,3,success_all_3_seeds
Rd25_XSBNtestSite,DarkResp,leaf-physiology,319.0,151.0,2151.0,6.74294670846395,ok,True,21.0,PLS,3,3,success_all_3_seeds
Rd25_spxy70,DarkResp,leaf-physiology,329.0,141.0,2151.0,6.537993920972644,ok,True,22.0,PLS,3,3,success_all_3_seeds
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,1016.0,3229.0,196.0,0.1929133858267716,ok,True,23.0,PLS,3,3,success_all_3_seeds
Chla+b_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,2925.0,3925.0,196.0,0.067008547008547,ok,True,24.0,PLS,3,3,success_all_3_seeds
Chla+b_spxyG_species,ECOSIS_LeafTraits,leaf-physiology,3734.0,3116.0,196.0,0.0524906266738082,ok,True,25.0,PLS,3,3,success_all_3_seeds
LMA_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,39225.0,6192.0,196.0,0.0049968132568514,ok,True,26.0,PLS,3,3,success_all_3_seeds
FinalScore_grp70_30_scoreQ,FUSARIUM,plant-disease,646.0,289.0,2177.0,3.369969040247678,ok,True,27.0,PLS,3,0,attempted_error
Fv_Fm_grp70_30,FUSARIUM,plant-disease,351.0,167.0,2177.0,6.202279202279202,ok,True,28.0,PLS,3,3,success_all_3_seeds
Tleaf_grp70_30,FUSARIUM,plant-disease,458.0,207.0,2177.0,4.753275109170306,ok,True,29.0,PLS,3,0,attempted_error
grapevine_chloride_556_KS,GRAPEVINES,leaf-physiology,388.0,167.0,1023.0,2.63659793814433,ok,True,30.0,PLS,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,leaf-physiology,78.0,34.0,2101.0,26.935897435897434,ok,True,31.0,PLS,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_MicroNIR,GRAPEVINE_LeafTraits,leaf-physiology,81.0,35.0,125.0,1.5432098765432098,ok,True,32.0,PLS,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,80.0,35.0,276.0,3.45,ok,True,33.0,PLS,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,82.0,37.0,257.0,3.1341463414634148,ok,True,34.0,PLS,3,3,success_all_3_seeds
LMA_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,leaf-physiology,1092.0,472.0,2101.0,1.923992673992674,ok,True,35.0,PLS,3,3,success_all_3_seeds
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,77.0,35.0,276.0,3.5844155844155843,ok,True,36.0,PLS,3,3,success_all_3_seeds
TIC_spxy70,IncombustibleMaterial,industrial,43.0,19.0,254.0,5.906976744186046,ok,True,37.0,PLS,3,3,success_all_3_seeds
LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS,soil-eu,6111.0,2620.0,4200.0,0.6872852233676976,ok,True,38.0,PLS,3,3,success_all_3_seeds
LUCAS_SOC_all_26650_NocitaKS,LUCAS,soil-eu,13325.0,5711.0,4200.0,0.3151969981238274,ok,True,39.0,PLS,0,0,not_attempted
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,soil-eu,1175.0,588.0,4200.0,3.574468085106383,ok,True,40.0,PLS,0,0,not_attempted
Malaria_Oocist_333_Maia,MALARIA,biomedical,227.0,106.0,2151.0,9.475770925110131,ok,True,41.0,PLS,0,0,not_attempted
Malaria_Sporozoite_229_Maia,MALARIA,biomedical,138.0,91.0,2151.0,15.58695652173913,ok,True,42.0,PLS,0,0,not_attempted
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,43.0,PLS,0,0,not_attempted
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,44.0,PLS,0,0,not_attempted
All_manure_MgO_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,45.0,PLS,0,0,not_attempted
All_manure_P2O5_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,46.0,PLS,0,0,not_attempted
All_manure_Total_N_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,47.0,PLS,0,0,not_attempted
Milk_Fat_1224_KS,MILK,dairy,181.0,221.0,255.0,1.408839779005525,ok,True,48.0,PLS,0,0,not_attempted
Milk_Lactose_1224_KS,MILK,dairy,856.0,368.0,255.0,0.2978971962616822,ok,True,49.0,PLS,0,0,not_attempted
Milk_Urea_1224_KS,MILK,dairy,856.0,368.0,255.0,0.2978971962616822,ok,True,50.0,PLS,0,0,not_attempted
Brix_spxy70,PEACH,fruit-quality,35.0,15.0,600.0,17.142857142857142,ok,True,51.0,PLS,0,0,not_attempted
LP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,52.0,PLS,0,0,not_attempted
MP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,53.0,PLS,0,0,not_attempted
NP_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,54.0,PLS,0,0,not_attempted
Pi_spxyG,PHOSPHORUS,leaf-physiology,169.0,88.0,2101.0,12.431952662721894,ok,True,55.0,PLS,0,0,not_attempted
V25_spxyG,PHOSPHORUS,leaf-physiology,168.0,82.0,2101.0,12.50595238095238,ok,True,56.0,PLS,0,0,not_attempted
Firmness_spxy70,PLUMS,fruit-quality,28.0,12.0,600.0,21.428571428571427,ok,True,57.0,PLS,0,0,not_attempted
Quartz_spxy70,QUARTZ,mineral,212.0,91.0,1500.0,7.075471698113208,missing_data,False,,PLS,0,0,not_attempted
Escitalopramt_310_Zhao,TABLET,pharmaceutical,207.0,103.0,404.0,1.9516908212560389,ok,True,58.0,PLS,0,0,not_attempted
WOOD_Density_402_Olale,WOOD_density,wood-product,216.0,186.0,1038.0,4.805555555555555,ok,True,59.0,PLS,0,0,not_attempted
WOOD_N_402_Olale,WOOD_density,wood-product,216.0,186.0,1038.0,4.805555555555555,ok,True,60.0,PLS,0,0,not_attempted
ALPINE_P_291_KS,ALPINE,leaf-physiology,247.0,44.0,2151.0,8.708502024291498,ok,True,1.0,Ridge,3,3,success_all_3_seeds
Rice_Amylose_313_YbasedSplit,AMYLOSE,crop-grain,203.0,110.0,1154.0,5.684729064039409,ok,True,2.0,Ridge,3,3,success_all_3_seeds
Beef_Marbling_RandomSplit,BEEFMARBLING,meat-quality,554.0,278.0,331.0,0.5974729241877257,ok,True,3.0,Ridge,3,3,success_all_3_seeds
Beer_OriginalExtract_60_KS,BEER,beverage,40.0,20.0,576.0,14.4,ok,True,4.0,Ridge,3,3,success_all_3_seeds
Beer_OriginalExtract_60_YbaseSplit,BEER,beverage,40.0,20.0,576.0,14.4,ok,True,5.0,Ridge,3,3,success_all_3_seeds
brix_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,1434.0,699.0,2101.0,1.4651324965132495,ok,True,6.0,Ridge,3,3,success_all_3_seeds
ph_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,912.0,489.0,2101.0,2.303728070175439,ok,True,7.0,Ridge,3,3,success_all_3_seeds
ta_groupSampleID_stratDateVar_balRows,BERRY,fruit-quality,912.0,489.0,2101.0,2.303728070175439,ok,True,8.0,Ridge,3,3,success_all_3_seeds
Biscuit_Fat_40_RandomSplit,BISCUIT,food-product,40.0,32.0,700.0,17.5,ok,True,9.0,Ridge,3,3,success_all_3_seeds
Biscuit_Sucrose_40_RandomSplit,BISCUIT,food-product,40.0,32.0,700.0,17.5,ok,True,10.0,Ridge,3,3,success_all_3_seeds
C_woOutlier,COLZA,crop-seed,1210.0,1209.0,1154.0,0.9537190082644628,ok,True,11.0,Ridge,3,3,success_all_3_seeds
N_wOutlier,COLZA,crop-seed,1220.0,1207.0,1154.0,0.9459016393442624,ok,True,12.0,Ridge,3,3,success_all_3_seeds
N_woOutlier,COLZA,crop-seed,1205.0,1207.0,1154.0,0.957676348547718,ok,True,13.0,Ridge,3,3,success_all_3_seeds
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,crop-grain,64.0,16.0,700.0,10.9375,ok,True,14.0,Ridge,3,3,success_all_3_seeds
Corn_Starch_80_ZhengChenPelegYbaseSplit,CORN,crop-grain,64.0,16.0,700.0,10.9375,ok,True,15.0,Ridge,3,3,success_all_3_seeds
DIESEL_bp50_246_b-a,DIESEL,petroleum,113.0,113.0,401.0,3.5486725663716814,ok,True,16.0,Ridge,3,3,success_all_3_seeds
DIESEL_bp50_246_hla-b,DIESEL,petroleum,133.0,113.0,401.0,3.0150375939849625,ok,True,17.0,Ridge,3,3,success_all_3_seeds
DIESEL_bp50_246_hlb-a,DIESEL,petroleum,133.0,113.0,401.0,3.0150375939849625,ok,True,18.0,Ridge,3,3,success_all_3_seeds
Rd25_CBtestSite,DarkResp,leaf-physiology,324.0,146.0,2151.0,6.638888888888889,ok,True,19.0,Ridge,3,3,success_all_3_seeds
Rd25_GTtestSite,DarkResp,leaf-physiology,297.0,173.0,2151.0,7.242424242424242,ok,True,20.0,Ridge,3,3,success_all_3_seeds
Rd25_XSBNtestSite,DarkResp,leaf-physiology,319.0,151.0,2151.0,6.74294670846395,ok,True,21.0,Ridge,3,3,success_all_3_seeds
Rd25_spxy70,DarkResp,leaf-physiology,329.0,141.0,2151.0,6.537993920972644,ok,True,22.0,Ridge,3,3,success_all_3_seeds
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,1016.0,3229.0,196.0,0.1929133858267716,ok,True,23.0,Ridge,3,3,success_all_3_seeds
Chla+b_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,2925.0,3925.0,196.0,0.067008547008547,ok,True,24.0,Ridge,3,3,success_all_3_seeds
Chla+b_spxyG_species,ECOSIS_LeafTraits,leaf-physiology,3734.0,3116.0,196.0,0.0524906266738082,ok,True,25.0,Ridge,3,3,success_all_3_seeds
LMA_spxyG_block2deg,ECOSIS_LeafTraits,leaf-physiology,39225.0,6192.0,196.0,0.0049968132568514,ok,True,26.0,Ridge,3,3,success_all_3_seeds
FinalScore_grp70_30_scoreQ,FUSARIUM,plant-disease,646.0,289.0,2177.0,3.369969040247678,ok,True,27.0,Ridge,3,0,attempted_error
Fv_Fm_grp70_30,FUSARIUM,plant-disease,351.0,167.0,2177.0,6.202279202279202,ok,True,28.0,Ridge,3,3,success_all_3_seeds
Tleaf_grp70_30,FUSARIUM,plant-disease,458.0,207.0,2177.0,4.753275109170306,ok,True,29.0,Ridge,3,0,attempted_error
grapevine_chloride_556_KS,GRAPEVINES,leaf-physiology,388.0,167.0,1023.0,2.63659793814433,ok,True,30.0,Ridge,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,leaf-physiology,78.0,34.0,2101.0,26.935897435897434,ok,True,31.0,Ridge,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_MicroNIR,GRAPEVINE_LeafTraits,leaf-physiology,81.0,35.0,125.0,1.5432098765432098,ok,True,32.0,Ridge,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,80.0,35.0,276.0,3.45,ok,True,33.0,Ridge,3,3,success_all_3_seeds
An_spxyG70_30_byCultivar_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,82.0,37.0,257.0,3.1341463414634148,ok,True,34.0,Ridge,3,3,success_all_3_seeds
LMA_spxyG70_30_byCultivar_ASD,GRAPEVINE_LeafTraits,leaf-physiology,1092.0,472.0,2101.0,1.923992673992674,ok,True,35.0,Ridge,3,3,success_all_3_seeds
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,leaf-physiology,77.0,35.0,276.0,3.5844155844155843,ok,True,36.0,Ridge,3,3,success_all_3_seeds
TIC_spxy70,IncombustibleMaterial,industrial,43.0,19.0,254.0,5.906976744186046,ok,True,37.0,Ridge,3,3,success_all_3_seeds
LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS,soil-eu,6111.0,2620.0,4200.0,0.6872852233676976,ok,True,38.0,Ridge,0,0,not_attempted
LUCAS_SOC_all_26650_NocitaKS,LUCAS,soil-eu,13325.0,5711.0,4200.0,0.3151969981238274,ok,True,39.0,Ridge,0,0,not_attempted
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,soil-eu,1175.0,588.0,4200.0,3.574468085106383,ok,True,40.0,Ridge,0,0,not_attempted
Malaria_Oocist_333_Maia,MALARIA,biomedical,227.0,106.0,2151.0,9.475770925110131,ok,True,41.0,Ridge,0,0,not_attempted
Malaria_Sporozoite_229_Maia,MALARIA,biomedical,138.0,91.0,2151.0,15.58695652173913,ok,True,42.0,Ridge,0,0,not_attempted
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,43.0,Ridge,0,0,not_attempted
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,soil-amendment,343.0,147.0,1003.0,2.924198250728863,ok,True,44.0,Ridge,0,0,not_attempted
