comparison,subset,n,median_ratio,ci95_low,ci95_high,wins,losses,ties,wilcoxon_raw_two_sided_p
AOM-PLS simple vs PLS-HPO,strict_N32_all,32,0.9897365472000514,0.9742437158372774,1.0209061472464516,19,13,0,0.8754460029304028
AOM-PLS simple vs PLS-HPO,strict_without_ta,31,0.9922397405887288,0.9754727266193568,1.0209061472464516,18,13,0,0.9000833509489894
AOM-Ridge simple vs Ridge-HPO,strict_N32_all,32,0.9836776704015932,0.9338858398602357,1.0220105674764672,19,13,0,0.24621350597590208
AOM-Ridge simple vs Ridge-HPO,strict_without_ta,31,0.9804361667145952,0.9338858398602357,1.0186030196773235,19,12,0,0.21665488090366125
