Leaf water potential (MPa)
0.55000000
1.84000000
3.08000000
0.79000000
1.91000000
2.74000000
0.46000000
1.76000000
2.82000000
0.24000000
1.51000000
2.68000000
1.12100000
1.99800000
2.67600000
0.93000000
2.09000000
3.25000000
0.78000000
2.07000000
3.18000000
0.23000000
1.81000000
2.78000000
0.27000000
1.41000000
2.16000000
0.29000000
1.73000000
2.73000000
0.20000000
1.47000000
2.38000000
0.42000000
1.84000000
2.67000000
0.10000000
1.37000000
2.61000000
0.33000000
2.05000000
2.72000000
0.32000000
1.56000000
2.42000000
0.27000000
2.65000000
4.97000000
0.10000000
2.58000000
4.70000000
0.30000000
2.44000000
4.12000000
0.15000000
2.32000000
4.35000000
0.16000000
2.71000000
4.53000000
0.05000000
2.17000000
3.46000000
0.45000000
2.51000000
4.10000000
0.45000000
2.28000000
3.43000000
0.09000000
1.92000000
4.40000000
0.14000000
2.22000000
3.65000000
0.35000000
1.70000000
2.60000000
0.30000000
1.80000000
2.55000000
0.30000000
1.65000000
2.50000000
0.29000000
2.45000000
3.65000000
0.34000000
2.50000000
3.48000000
0.17000000
3.19000000
3.56000000
0.22000000
2.36000000
4.38000000
0.20000000
1.94000000
3.60000000
0.25000000
1.95000000
3.40000000
0.10200000
2.54000000
4.45600000
0.13500000
2.61100000
4.51200000
