Leaf water potential (MPa)
0.60000000
1.76000000
3.02000000
0.87600000
2.09000000
2.69000000
1.01900000
2.35600000
2.57500000
1.35000000
2.53000000
3.56000000
0.20000000
1.47500000
2.43000000
0.21000000
2.54000000
5.23000000
0.16000000
3.06000000
5.33000000
0.21000000
2.34000000
3.99000000
0.27000000
2.08000000
4.84000000
0.09000000
1.88000000
2.94000000
0.30000000
1.80000000
2.45000000
0.18000000
2.12000000
3.31000000
