dataset,ridge_default_rmsep,aom_ridge_rmsep,ridge_default_rpd,aom_ridge_rpd,baseline_rpd_ge_2,aom_rpd_ge_2
ALPINE_P_291_KS,0.06062024818750771,0.0603434729965278,1.6860381625175738,1.693771451823893,False,False
An_spxyG70_30_byCultivar_ASD,3.8499469899223953,3.928009619938069,0.9442110262915823,0.9254464093140705,False,False
An_spxyG70_30_byCultivar_MicroNIR,3.5520207340229017,3.662824262422927,1.1605510383522244,1.1254433889743982,False,False
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,4.147904094088579,4.020845597078536,0.993827547024012,1.0252324421793486,False,False
An_spxyG70_30_byCultivar_NeoSpectra,4.867382992180296,4.686971712244227,0.8859858605716646,0.9200892972733251,False,False
Beef_Marbling_RandomSplit,72.64004069729812,72.13439452555032,1.369690109326645,1.3792913344400897,False,False
Beer_OriginalExtract_60_KS,0.5708467429005359,0.2421609969263227,2.8750825106095226,6.7774394208126125,True,True
Beer_OriginalExtract_60_YbaseSplit,0.5365475089275226,0.303206748736885,4.666877783217713,8.258396818296319,True,True
Biscuit_Fat_40_RandomSplit,0.507987352146202,0.2003844832105738,3.956937492061194,10.03108707318378,True,True
Biscuit_Sucrose_40_RandomSplit,0.9331304738576763,1.0532869504674394,4.239244627813097,3.755641657379605,True,True
C_woOutlier,2.0272812521554964,1.7608898207244148,1.3803717738024082,1.5891975665365659,False,False
Ccar_spxyG_block2deg,60.0329584011046,60.05350516260569,0.04226642226613356,0.04225196119353746,False,False
Corn_Oil_80_ZhengChenPelegYbaseSplit,0.059449266728342755,0.0262473911243209,3.0203921582224766,6.841064629542629,True,True
Corn_Starch_80_ZhengChenPelegYbaseSplit,0.17982478721292197,0.1090621838714172,4.57847935360903,7.549125153152884,True,True
DIESEL_bp50_246_b-a,5.322130389512773,3.424943223447864,2.8117890110160824,4.369330166402555,True,True
DIESEL_bp50_246_hla-b,5.020683253176548,2.4922845978243746,3.419424532855409,6.888397698479044,True,True
DIESEL_bp50_246_hlb-a,5.016945569295079,2.84224501727087,2.9828323902922906,5.265101232826121,True,True
Fv_Fm_grp70_30,0.031037781763327315,0.031031651854496,1.2036812540834279,1.203919026032665,False,False
LMA_spxyG70_30_byCultivar_ASD,0.3028332326320991,0.3027547365296287,3.4351092819376254,3.435999912727693,True,True
N_wOutlier,0.3429892617038222,0.3201584327631741,4.282875320365451,4.588291588709436,True,True
N_woOutlier,0.2741546135287229,0.2712105279632771,5.3582182156046905,5.416383556838075,True,True
Rd25_CBtestSite,0.23104901407080256,0.2254500719909432,1.2277684082567066,1.2582594351373126,False,False
Rd25_GTtestSite,0.1930557566183032,0.1952700098595296,1.2318979788972826,1.2179289413856045,False,False
Rd25_XSBNtestSite,0.26197709045730416,0.2595004954131302,1.1076616987233245,1.1182328903864165,False,False
Rd25_spxy70,0.1737526695982343,0.1740889754739072,1.5005319526765157,1.4976332182164713,False,False
Rice_Amylose_313_YbasedSplit,2.5964819927657907,1.9363073759915648,2.024136140221278,2.7142555485539273,True,True
TIC_spxy70,4.531146556821138,3.862175097180873,1.5406358191002312,1.8074909892425317,False,False
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,1.55825872847197,1.4654540720419815,1.101841362870422,1.1716190591301587,False,False
brix_groupSampleID_stratDateVar_balRows,3.495151851323071,3.6212741502469754,1.5648315900812921,1.5103313922555237,False,False
grapevine_chloride_556_KS,990.0498021821883,964.1126003431344,1.514427045645453,1.5551691746659098,False,False
ph_groupSampleID_stratDateVar_balRows,0.3685203533067745,0.3586436822456326,1.2523141452736457,1.2868015640973562,False,False
ta_groupSampleID_stratDateVar_balRows,2.055443982699478,2.0208435578217867,1.192189095296675,1.2126014864845798,False,False
