Leaf-litter nitrogen (% dry mass)
0.27000000
0.30000000
0.33000000
0.35000000
0.41000000
0.48000000
0.63000000
0.71000000
0.75000000
0.78000000
0.81000000
0.85000000
0.87000000
0.91181080
0.93000000
0.99000000
1.04000000
1.06000000
1.08000000
1.11000000
1.16000000
1.17000000
1.23000000
1.26000000
1.36000000
1.39000000
1.55000000
1.64089246
1.85000000
2.38000000
