Leaf-litter nitrogen (% dry mass)
0.25000000
0.25000000
0.27000000
0.27000000
0.28000000
0.29000000
0.30000000
0.31000000
0.31000000
0.33000000
0.34000000
0.35000000
0.37000000
0.39000000
0.40000000
0.43000000
0.43000000
0.47000000
0.50000000
0.55000000
0.60000000
0.64000000
0.65000000
0.69000000
0.72000000
0.72000000
0.75000000
0.75000000
0.77000000
0.78000000
0.78000000
0.78000000
0.80000000
0.81000000
0.81000000
0.83000000
0.86000000
0.87000000
0.87000000
0.90000000
0.90000000
0.90000000
0.92916779
0.93000000
0.93000000
0.94000000
0.97000000
0.99000000
1.02000000
1.03000000
1.04000000
1.04000000
1.06000000
1.06000000
1.06000000
1.07000000
1.07000000
1.09000000
1.10000000
1.11000000
1.13000000
1.16000000
1.16000000
1.16629044
1.17000000
1.17000000
1.18000000
1.20000000
1.22000000
1.26000000
1.26000000
1.26000000
1.32000000
1.32000000
1.35000000
1.38000000
1.39000000
1.39000000
1.41000000
1.50000000
1.50000000
1.56000000
1.57000000
1.63000000
1.69000000
1.70000000
1.74000000
1.85000000
1.90000000
2.05000000
