selector,baseline,n_rows,n_datasets,wins_rows_36,wins_datasets_12,median_ratio_ds,median_delta_pct_ds,q75_ratio_ds,q90_ratio_ds,worst_ratio,worst_dataset,cliffs_delta_ds,p_wilcoxon_ds,p_wilcoxon_ds_holm,p_wilcoxon_rows,p_wilcoxon_rows_holm
AOMRidge-Blender-headline-spxy3,Ridge-tuned-cv5,36,12,24,8,0.8644832665818899,-13.55167334181101,1.0015642413090156,1.045342724135037,1.1068718308355774,Biscuit_Sucrose_40_RandomSplit,0.3333333333333333,0.013427734375,0.067138671875,6.673433108011615e-05,0.00033367165540058077
AOMRidge-Blender-headline-spxy3,ASLS-AOM-compact-cv5-numpy,36,12,30,10,0.8870542528155547,-11.294574718444528,0.9453876367861038,1.0876477404018388,1.1142755863394984,MP_spxyG,0.6666666666666666,0.008056640625,0.04833984375,2.492458505976139e-05,0.00014954751035856835
AOMRidge-Blender-headline-spxy3,AOMRidge-global-compact-none,36,12,27,9,0.8583135916653107,-14.168640833468926,0.9828737570429978,1.0945448884375368,1.3967734468103725,Biscuit_Sucrose_40_RandomSplit,0.5,0.03857421875,0.154296875,0.0009259808348348214,0.0037039233393392854
AOMRidge-Blender-headline-spxy3,AOMRidge-Local-compact-knn50,36,12,27,9,0.9536580419929366,-4.6341958007063475,0.9838371619143687,1.0320098245227964,1.036109438381614,Biscuit_Sucrose_40_RandomSplit,0.5,0.006103515625,0.042724609375,1.0929686858426025e-05,7.650780800898217e-05
AOMRidge-AutoSelect-headline-spxy3,Ridge-tuned-cv5,36,12,24,8,0.8955934497489153,-10.440655025108464,1.0089666882079,1.1486264213798778,1.1891096018952498,Ccar_spxyG_block2deg,0.3333333333333333,0.046142578125,0.154296875,0.001086870191103819,0.0037039233393392854
AOMRidge-AutoSelect-headline-spxy3,ASLS-AOM-compact-cv5-numpy,36,12,30,10,0.8242319860043766,-17.576801399562335,0.931010580138933,1.0531925355790743,1.0755826070522219,TIC_spxy70,0.6666666666666666,0.00244140625,0.01953125,1.8972414525629496e-06,1.5177931620503597e-05
AOMRidge-AutoSelect-headline-spxy3,AOMRidge-global-compact-none,36,12,27,9,0.8934952245867944,-10.650477541320559,1.0299975229824452,1.1950046972492514,1.4664380486768394,Biscuit_Sucrose_40_RandomSplit,0.5,0.088134765625,0.154296875,0.008075180040255519,0.008075180040255519
AOMRidge-AutoSelect-headline-spxy3,AOMRidge-Local-compact-knn50,36,12,27,9,0.9645708752846873,-3.542912471531273,0.9977629402588908,1.0344639469832964,1.087785786954657,Biscuit_Sucrose_40_RandomSplit,0.5,0.03857421875,0.154296875,0.0009259808348348214,0.0037039233393392854
