aom_variant,n_datasets,TabPFN-Raw_n_pairs,TabPFN-Raw_median_ratio,TabPFN-Raw_mean_ratio,TabPFN-Raw_wins,TabPFN-Raw_losses,TabPFN-opt_n_pairs,TabPFN-opt_median_ratio,TabPFN-opt_mean_ratio,TabPFN-opt_wins,TabPFN-opt_losses,Catboost_n_pairs,Catboost_median_ratio,Catboost_mean_ratio,Catboost_wins,Catboost_losses,PLS_n_pairs,PLS_median_ratio,PLS_mean_ratio,PLS_wins,PLS_losses,Ridge_n_pairs,Ridge_median_ratio,Ridge_mean_ratio,Ridge_wins,Ridge_losses,CNN_n_pairs,CNN_median_ratio,CNN_mean_ratio,CNN_wins,CNN_losses
AOM-compact-cv3-numpy,57,57,1.0223339883250808,1.0554518474415027,25,32,57,1.1411499886719914,1.2995618775339106,12,45,56,0.9929387690956334,0.9893062647263037,29,27,54,1.0210267206742272,1.0439037446224446,21,33,54,1.0586271968706142,1.0697529073551673,13,41,51,0.9829650021319994,1.188054611318545,29,22
AOM-compact-cv5-numpy,57,57,1.012603024636057,1.0534644533619972,27,30,57,1.1040476517787932,1.301968349911146,14,43,56,0.9929387690956334,0.9813713838275956,29,27,54,1.0206369915106848,1.0339573695986044,22,32,54,1.0586271968706142,1.0590973914549144,15,39,51,0.970583658014602,1.1727329195957008,29,22
AOM-compact-cv5-oneSE-numpy,57,57,1.0261546172196132,1.0516009909347201,22,35,57,1.149618735403688,1.3021708540885175,14,43,56,0.996007818631332,1.0038098421552022,29,27,54,1.044069094203524,1.0789711273045586,19,35,54,1.0835170255764566,1.1031917352942873,16,38,51,0.9913520907511685,1.1579480425752435,27,24
AOM-compact-oneSEcv3-numpy,57,57,1.0160240601226624,1.054430993942124,23,34,57,1.1584870129515012,1.3120933482840187,14,43,56,1.0137770137627788,1.00755360216031,27,29,54,1.0203738530354518,1.0895369732343982,21,33,54,1.07555897726425,1.1091662019546507,17,37,51,1.0112452835659174,1.1621674921619178,24,27
AOM-compact-press-numpy,57,57,1.1169152034625707,1.2037168755328154,19,38,57,1.2438955937655236,1.51923102568324,6,51,56,1.0757703516689696,1.106600827448714,20,36,54,1.128402109670875,1.2008856244052153,14,40,54,1.1298012013978604,1.2369910048555843,10,44,51,1.0535927647443895,1.2493543294490042,18,33
AOM-compact-repcv3-numpy,57,57,1.012603024636057,1.0306247523578824,25,32,57,1.1314494771780805,1.2555176029108615,13,44,56,0.9969900647116752,0.9749644352792615,28,28,54,1.009988543659904,1.0258909682789246,22,32,54,1.055273503952984,1.0516469335013032,16,38,51,0.970583658014602,1.1682559362600684,29,22
AOM-compact-repcv3-oneSE-numpy,57,57,1.0160240601226624,1.062967307898384,23,34,57,1.1616480219761922,1.3194554663798352,15,42,56,1.0143442243508827,1.0105965279817617,26,30,54,1.0196737711154593,1.0868319010110876,21,33,54,1.0959330971220584,1.1136574569416855,15,39,51,1.0112452835659174,1.1643319307130808,24,27
AOM-compact-simpls-covariance-numpy,57,57,1.010639431426725,1.1351261664416408,27,30,57,1.1416736960323908,1.4194981457090403,12,45,56,1.0148222714464794,1.0108727016837082,27,29,54,1.017731374557742,1.0948438786224017,23,31,54,1.0616322475028162,1.1437768077812631,13,41,51,0.9746361823950618,1.1561318172986734,30,21
AOM-default-nipals-adjoint-numpy,57,57,1.0428420192668983,1.1031027172093366,24,33,57,1.1627762147962384,1.3703277813679144,11,46,56,1.0488645247769994,1.028164148016973,23,33,54,1.0337172662658833,1.0714991046034332,23,31,54,1.0535137764913634,1.1132516013092515,12,42,51,0.9959115044473154,1.2092760999745482,26,25
AOM-default-oneSEcv3-numpy,57,57,1.0137960131887191,1.026221346678874,27,30,57,1.1584870129515012,1.260935543661514,14,43,56,0.9922077568855685,0.984592373466109,29,27,54,1.020162944386281,1.0560234927681613,20,34,54,1.0530453133019226,1.078816000279068,15,39,51,0.9888137128525081,1.1289914495209152,28,23
AOM-default-simpls-covariance-numpy,57,57,1.0500493306846364,1.1182498964504985,23,34,57,1.1837668895277487,1.3972193240064934,11,46,56,1.0541749156402898,1.0450608852094478,23,33,54,1.0285642964267865,1.099021432105487,20,34,54,1.0689951685236516,1.1469245602160048,13,41,51,0.9857645347618939,1.1647791787225916,27,24
AOM-explorer-simpls-numpy,57,57,1.0273606551988714,1.0860470967892024,25,32,57,1.2077866924687952,1.3709764853032043,11,46,56,1.0341987009857552,1.016650996518466,24,32,54,1.022217666851641,1.1086033795654346,18,36,54,1.0635739101459656,1.1277747737331627,13,41,51,1.009491603004551,1.1898285820680836,25,26
