aom_variant,n_datasets,TabPFN-Raw_n_pairs,TabPFN-Raw_median_ratio,TabPFN-Raw_mean_ratio,TabPFN-Raw_wins,TabPFN-Raw_losses,TabPFN-opt_n_pairs,TabPFN-opt_median_ratio,TabPFN-opt_mean_ratio,TabPFN-opt_wins,TabPFN-opt_losses,Catboost_n_pairs,Catboost_median_ratio,Catboost_mean_ratio,Catboost_wins,Catboost_losses,PLS_n_pairs,PLS_median_ratio,PLS_mean_ratio,PLS_wins,PLS_losses,Ridge_n_pairs,Ridge_median_ratio,Ridge_mean_ratio,Ridge_wins,Ridge_losses,CNN_n_pairs,CNN_median_ratio,CNN_mean_ratio,CNN_wins,CNN_losses
AOM-family-pruned-cv3-numpy,57,57,1.018725637288163,1.0416626619080827,24,33,57,1.1411499886719914,1.2775754889340722,10,47,56,0.9970878520202335,0.9816649051417776,29,27,54,1.0170472380080808,1.0352747267130733,20,34,54,1.0471323666761934,1.0612684358955011,14,40,51,0.9829650021319994,1.1833397620596995,29,22
AOM-family-pruned-numpy,57,57,1.0406524172540663,1.104273334466858,25,32,57,1.1803607400741947,1.3788698177187841,9,48,56,1.028765599399515,0.9919472821151174,24,32,54,1.0226132453877503,1.0821393178026797,22,32,54,1.0584846924700695,1.1196135350607608,12,42,51,0.9858698500249095,1.15904337649139,28,23
AOM-response-dedup-cv3-numpy,57,57,1.0221112392710934,1.0296898764646805,25,32,57,1.1411499886719914,1.2608383824099232,13,44,56,0.9987189487020833,0.9741173299470152,28,28,54,1.0092812090340102,1.023454928928799,21,33,54,1.0438913176246079,1.0443583690157376,14,40,51,0.9846330312652001,1.1615348668899912,28,23
AOM-response-dedup-numpy,57,57,1.0474229396807961,1.093747423248233,24,33,57,1.1803607400741947,1.3623300514305017,11,46,56,1.060102459395915,1.0198049895626617,24,32,54,1.0312696894688336,1.073134252951871,22,32,54,1.0661164964797523,1.1116139965220064,13,41,51,0.9888726204958453,1.160791210363022,26,25
ASLS-AOM-compact-cv3-numpy,57,57,1.0204870409487468,1.0334137546443316,25,32,57,1.14279646538789,1.2607717381000867,14,43,56,1.0164386756208068,0.9771511799124474,25,31,54,1.018010345582872,1.075695561274015,21,33,54,1.0723898035515225,1.1053251856429505,14,40,51,0.991749914483635,1.1111410668879542,27,24
ASLS-AOM-compact-cv5-numpy,57,57,0.9939223218440671,1.0074543896869936,30,27,57,1.1166667010505857,1.2363569672565162,18,39,56,0.9978427241408715,0.9567974721706153,28,28,54,1.0105414476443624,1.0476997526439287,25,29,54,1.035411288399903,1.0699907765827494,18,36,51,0.9874750198292874,1.1107238153251835,28,23
ASLS-AOM-compact-repcv3-numpy,57,57,1.0090499198768725,1.0179485479962793,27,30,57,1.1352945922740605,1.247959728323847,16,41,56,1.0094011197323978,0.9659530099238888,27,29,54,1.02265216496764,1.0591481657950486,25,29,54,1.0686751646734138,1.0829450519195989,17,37,51,0.991121374152354,1.121274338447716,28,23
ASLS-AOM-compact-repcv3-oneSE-numpy,57,57,1.0290338186750065,1.044626627068422,22,35,57,1.1718304036507676,1.2942120188864956,16,41,56,1.0056911266543578,0.977591184314029,28,28,54,1.0275064887661123,2521.9456178568544,24,30,54,1.080013866421508,2522.7140820177365,16,38,51,0.9931538783379126,1.110989864891322,27,24
ASLS-AOM-family-pruned-cv3-numpy,57,57,1.0200751932489585,1.0245384222087126,24,33,57,1.14279646538789,1.2557969726252471,14,43,56,1.021146787281356,0.9731704306806623,23,33,54,1.0329904717638017,1.061126745054045,21,33,54,1.0538267536548336,1.0857066546297212,11,43,51,0.992503497549904,1.0979320436359188,27,24
ASLS-AOM-response-dedup-cv3-numpy,57,57,0.998570305617863,1.0304256334555502,29,28,57,1.1316496204313198,1.258118892372602,13,44,56,1.017581775337483,0.9769326215048901,26,30,54,1.006924585417416,1.0477214876907175,23,31,54,1.041038320011416,1.0755918430304592,12,42,51,0.991749914483635,1.1448288043342987,27,24
ActiveSuperblock-deep3-numpy,57,57,1.1173614824514235,14.01377559018082,20,37,57,1.2715484655813591,16.454536336032895,8,49,56,1.0830316059055514,2.093950042702534,20,36,54,1.0989435633009617,2199227.806885728,16,38,54,1.106620520150569,2199880.0122676557,9,45,51,1.0472437622106587,1.946437448860565,21,30
ActiveSuperblock-simpls-numpy,57,57,1.110021462533878,1.1275893896523483,21,36,57,1.238828212671416,1.4206994969528894,7,50,56,1.0728881868147262,1.049810367958666,20,36,54,1.0958602202528773,1141.6282673856251,16,38,54,1.11047550840181,1141.997091609847,9,45,51,1.0366364927960512,1.2191637703873124,22,29
LocalSNV-w101-AOM-compact,57,57,1.087180162901278,1.7447960202406554,19,38,57,1.2719052599313503,2.222476393191765,9,48,56,1.0936535988730505,1.1331286443049422,17,39,54,1.0953694039215343,85036.96938204236,18,36,54,1.1336366818059167,85062.23910123695,17,37,51,1.0815513167820234,1.259141533055132,18,33
LocalSNV-w31-AOM-compact,57,57,1.1536550281731015,1.6634074392755838,9,48,57,1.293368541526031,2.179534395196617,2,55,56,1.1420838007226113,1.22456904099097,12,44,54,1.1112457826198536,44949.304838635864,13,41,54,1.2015697892995618,44962.709559433344,10,44,51,1.0756356732334948,1.2564936744009967,14,37
LocalSNV-w51-AOM-compact,57,57,1.1025629100519412,1.46853656747408,14,43,57,1.2324908084344324,1.8482573924787113,8,49,56,1.0992402278159505,1.1195876445517006,18,38,54,1.098641613317044,51599.69041592977,14,40,54,1.1097521239596615,51615.030539371575,14,40,51,1.052505219034495,1.2777058064419928,19,32
MSC-AOM-compact-numpy,57,57,1.095416885759721,3.975576645139624,18,39,57,1.2437762983334029,4.712681807190947,6,51,56,1.064735443342391,1.332155533043522,19,37,54,1.0576006615158193,477146.68804856023,15,39,54,1.0918518226170981,477288.2243524026,8,46,51,1.0154499863058999,1.431797070159617,22,29
MSC-AOM-default-numpy,57,57,1.08410095771342,3.941995421979048,19,38,57,1.2312147682149392,4.675476129612591,9,48,56,1.087496865252454,1.296122118977512,21,35,54,1.0612313276509076,477146.66003839264,15,39,54,1.1204158524942514,477288.19558995136,9,45,51,1.0887651870180184,1.3893242407478497,20,31
MSC-OSC-AOM-default-numpy,57,57,1.4566223429702145,4.303117661725234,11,46,57,1.8489308800571278,5.380710261095305,13,44,56,1.477022278971385,1.8267507624041652,13,43,54,1.42260231512445,435260.82695262146,14,40,54,1.5133285412297237,435389.8989603211,12,42,51,1.345692349617053,1.7198788296509095,11,40
OSC-AOM-compact-numpy,57,57,1.470823397349495,6.1822172365322565,5,52,57,1.8864783548718633,7.641201212718864,9,48,56,1.4686605905847896,2.1635834036267627,9,47,54,1.593307436292618,721416.7072790766,11,43,54,1.5738569025182418,721630.6492310656,9,45,51,1.328473882919392,2.0694297173663303,5,46
OSC-AOM-default-numpy,57,57,1.470823397349495,6.155869227519551,6,51,57,1.886974350124473,7.6050252220606405,9,48,56,1.4755131416902103,2.1618195224995223,10,46,54,1.569383674976439,721416.679348647,10,44,54,1.5595944713055094,721630.6132151767,9,45,51,1.298887875979022,2.070003609675325,5,46
PLS-standard-numpy,57,57,1.0180131338687957,1.130314437272621,23,34,57,1.1552787388987298,1.4615938048259245,11,46,56,1.0486507426386598,1.0233093350807554,23,33,54,1.0526730334802172,1.1523766716417647,20,34,54,1.0750339084142395,1.1763494012169107,10,44,51,1.018215007249216,1.188034717093908,24,27
POP-K3-numpy,57,57,1.454836421564071,6.260175172141455,5,52,57,1.892990443439266,7.797622638187639,8,49,56,1.4909599100469113,2.2061828717609058,9,47,54,1.5662963805280117,729318.1540034265,11,43,54,1.5460051583245036,729534.4208188922,9,45,51,1.3681914449429247,2.085892826984231,6,45
POP-K5-numpy,57,57,1.3624217980335591,6.210441159617267,5,52,57,1.892990443439266,7.704687877402689,8,49,56,1.4909599100469113,2.1523344669277065,10,46,54,1.5662963805280117,729318.0823439276,11,43,54,1.5460051583245036,729534.3491096622,9,45,51,1.3681914449429247,2.0396078162322904,6,45
POP-K8-cv3-numpy,57,57,1.4889373043419774,6.3578259219928235,7,50,57,1.9206554650176486,7.945194573800818,10,47,56,1.5197819509886525,2.2397343268643284,10,46,54,1.4822764922004341,729318.2512373705,11,43,54,1.5439791287224773,729534.532585383,9,45,51,1.3731027941197673,2.103201490515388,6,45
POP-K8-cv3-oneSE-numpy,57,57,1.4889373043419774,6.358062033883316,7,50,57,1.9206554650176486,7.945544312921199,10,47,56,1.5197819509886525,2.2397998402482053,10,46,54,1.4822764922004341,729318.2514563412,11,43,54,1.5439791287224773,729534.5328787917,9,45,51,1.3731027941197673,2.103201490515388,6,45
POP-K8-numpy,57,57,1.4083388750569785,6.211365209994727,5,52,57,1.618549465120748,7.696849268840878,7,50,56,1.4734701468360238,2.148345655037299,10,46,54,1.5008306562705733,729318.0709495373,11,43,54,1.538927035823256,729534.3433515882,8,46,51,1.2808942211016874,2.0255174343810594,7,44
POP-nipals-adjoint-numpy,57,57,1.3624217980335591,6.184376065404709,5,52,57,1.618549465120748,7.654352865253169,7,50,56,1.4259873605556537,2.121036799150509,10,46,54,1.4746064798519212,729318.0440977181,11,43,54,1.538927035823256,729534.3058955179,8,46,51,1.2808942211016874,2.0255174343810594,7,44
POP-simpls-covariance-numpy,57,57,1.340749173850236,1.9543956911274527,5,52,57,1.6185494651207482,2.747245784200628,8,49,56,1.447383180857098,1.81740264555846,10,46,54,1.503854688551546,2.2449924979912423,11,43,54,1.5399046525196658,2.241457259404596,8,46,51,1.264975119339835,1.7907485391464644,7,44
SNV-AOM-compact-cv3-numpy,57,57,1.0289833364022516,3.4999007161821045,24,33,57,1.1349310977915408,4.142861220667787,10,47,56,1.0263935938768092,1.1970580766598993,27,29,54,1.0317385575509332,417880.77741829125,21,33,54,1.0527884265905136,418004.7143314574,12,42,51,0.9972430841519558,1.321630214825269,27,24
SNV-AOM-compact-numpy,57,57,1.0750411807291882,2.765961122746061,20,37,57,1.2112352507813682,3.305667437222232,9,48,56,1.0329107283785883,1.1736735130147016,23,33,54,1.0437785517447957,279557.12196608365,16,38,54,1.0651840981088063,279640.0623138748,11,43,51,1.036380459259547,1.2977286935116594,23,28
SNV-AOM-compact-oneSE-numpy,57,57,1.0469314587343803,3.596512029881173,20,37,57,1.1510513754414589,4.254756870800695,8,49,56,1.0285016581146498,1.2165376247364839,24,32,54,1.0391868573067935,432397.1012803339,18,36,54,1.095383160540881,432525.3560820778,12,42,51,0.9993718825238809,1.3143598333896571,26,25
SNV-AOM-compact-repcv3-numpy,57,57,1.0159661312947075,3.0061815975356545,25,32,57,1.1340126777353992,3.5676762205422894,8,49,56,1.0254985128476415,1.1530392307549715,25,31,54,1.0274156330085389,334415.8045466706,20,34,54,1.0641863771424405,334514.98937851266,13,41,51,0.9993718825238809,1.2855942638736262,26,25
SNV-AOM-default-numpy,57,57,1.048274521853137,2.788941278117038,22,35,57,1.2010455956978716,3.3320256167118263,9,48,56,1.0617936887732475,1.1784608117320252,21,35,54,1.0400093276528055,282625.6284841122,18,36,54,1.0919952939167556,282709.4826772102,12,42,51,1.0259734405673886,1.362253629680034,21,30
SNV-ASLS-AOM-compact-repcv3-numpy,57,57,1.006712567202301,1.6278498955736307,28,29,57,1.1433782346609007,1.971123817579521,11,46,56,1.018536957414363,1.0617821457657703,27,29,54,1.0159896321443147,92993.37617900466,19,35,54,1.071959071581153,93020.97545492683,16,38,51,1.0100952069416134,1.2293808154648527,25,26
SNV-OSC-AOM-default-numpy,57,57,1.457261292949415,4.028210150712615,10,47,57,1.8267957362179912,5.057462962805667,12,45,56,1.4926657743536664,1.8322163624341574,11,45,54,1.4245511714780117,384941.9204892134,14,40,54,1.5168210862012173,385056.06995737326,12,42,51,1.3479476148870075,1.8342910689316994,10,41
Superblock-raw-simpls-numpy,57,57,1.0802005717348664,31.39873890623322,21,36,57,1.2122234413588153,36.77259444226914,10,47,56,1.0779630485874714,3.5116845162876436,18,38,54,1.0649620359766787,5161339.0408300245,15,39,54,1.0916951798102374,5162869.650405795,9,45,51,1.0306289877084767,2.902312350443365,22,29
nirs4all-AOM-PLS-default,57,57,1.0428420192668983,1.1031027172093326,24,33,57,1.1627762147962302,1.3703277813679104,11,46,56,1.0488645247769983,1.028164148016971,23,33,54,1.033717266265887,1.0714991045806985,23,31,54,1.0535137764913638,1.1132516012865106,12,42,51,0.9959115044473046,1.2092760999745393,26,25
nirs4all-POP-PLS-default,59,59,4.9523246193246,6.771060068636338,1,58,57,6.042962314416618,10.54453715075046,1,56,56,5.168010042330846,6.97367945444632,1,55,54,4.752690172428952,8.454808748106577,0,54,54,5.300834585951054,8.041560979610793,0,54,51,5.086232375763478,7.2147421263049365,1,50
pipeline-emsc1-asls-osc1-compact,57,57,1.5018031484435255,10.351954573564653,7,50,57,1.9482196645833583,12.609814857259344,9,48,56,1.54465888012116,2.6505924110073624,10,46,54,1.6051751930302331,1380226.5255444667,11,43,54,1.575029671554754,1380635.8582635203,8,46,51,1.3772065851435729,2.3306494340012525,6,45
pipeline-emsc1-asls-osc1-default,57,57,1.5018358853395306,10.366507483081591,6,51,57,1.9482108991051932,12.631711634714604,8,49,56,1.542909585179399,2.6578679876560938,10,46,54,1.6051733840506053,1382431.9451324786,10,44,54,1.5796801587887472,1382841.9306874408,7,47,51,1.3772065851435729,2.3358452546859296,6,45
pipeline-emsc1-asls-osc2-compact,57,57,1.5018188521593987,10.377097639509513,6,51,57,1.9482189471905051,12.640070497401425,8,49,56,1.5434312446591676,2.67097653873732,10,46,54,1.6062390812406928,1380228.180347017,10,44,54,1.574796752549882,1380637.5173943022,7,47,51,1.3759893739295554,2.3486670629708106,6,45
pipeline-emsc1-asls-osc2-default,57,57,1.5017100479365786,10.378230654095393,6,51,57,1.9482712624346648,12.640207417152267,8,49,56,1.5524442541204322,2.6692013198729745,9,47,54,1.615990337735631,1380228.6996106876,10,44,54,1.5795156973209128,1380638.0372472252,7,47,51,1.3759893739295554,2.3413095486943103,6,45
pipeline-emsc1-asls-osc3-compact,57,57,1.5021093860031514,10.370735982475065,6,51,57,1.9482711186360961,12.627600289123478,8,49,56,1.5446293784694851,2.6634813013861014,10,46,54,1.6059598455052337,1380228.0523086179,11,43,54,1.5743607666462776,1380637.3903145117,7,47,51,1.3752412418889393,2.3421888474694232,6,45
pipeline-emsc1-asls-osc3-default,57,57,1.50190008693125,10.374257961914852,6,51,57,1.9486752353834313,12.660075703481414,8,49,56,1.548276883185741,2.6742417844576836,10,46,54,1.6022515427356652,1380228.50817802,10,44,54,1.580351427928752,1380637.831097856,7,47,51,1.3752412418889393,2.3423045681763965,6,45
pipeline-emsc1-asls-x-compact,57,57,2.019517351707539,11.270392448379798,5,52,57,3.1864459225216923,18.588769069286354,6,51,56,2.1431539790167315,7.311181813520816,6,50,54,2.5043095290456945,956975.9526598613,5,49,54,2.684563974776018,957257.6306607804,5,49,51,1.8019505406572254,6.050673843523335,1,50
pipeline-emsc1-asls-x-default,57,57,2.2541305325411685,11.707198036236392,5,52,57,3.2847482045892087,18.859641558022798,5,52,56,2.2822274253980237,6.345168458374575,5,51,54,2.6285176486762922,1167147.9785119363,4,50,54,3.0113197418900763,1167491.7593545357,4,50,51,1.986463405413591,4.873793080846797,1,50
pipeline-emsc1-x-osc1-compact,57,57,1.5028330113139257,10.30580540637759,8,49,57,1.949827086526289,12.55160686447495,9,48,56,1.5636404851745769,2.6686988927978312,10,46,54,1.6002212298893563,1367057.002995886,10,44,54,1.5731231379851291,1367462.4385584327,8,46,51,1.381413564666117,2.3454405103983635,6,45
pipeline-emsc1-x-osc1-default,57,57,1.5028330113139257,10.30938915389261,8,49,57,1.9492413918405902,12.554402784595371,9,48,56,1.5724382219312525,2.671133066311509,10,46,54,1.6013374986268583,1367057.0056500558,10,44,54,1.574149372305338,1367462.4425541821,8,46,51,1.3814022086119002,2.347559560005842,6,45
pipeline-emsc1-x-osc2-compact,57,57,1.5028550199071329,10.306191179954416,8,49,57,1.9497047797498614,12.561824944967011,8,49,56,1.5668759109781765,2.672072619781166,10,46,54,1.6001330305565982,1367057.0109373797,10,44,54,1.5739826949380153,1367462.440941765,7,47,51,1.3827526544514428,2.3464835838987916,6,45
pipeline-emsc1-x-osc2-default,57,57,1.5022758731194714,10.31128568126782,7,50,57,1.9497016960264906,12.588692552198768,8,49,56,1.5677143223326415,2.6808091376111354,10,46,54,1.6021985651579416,1367057.0310427933,10,44,54,1.5740206002276111,1367462.4500640733,7,47,51,1.3827526544514428,2.348288541997945,6,45
pipeline-emsc1-x-osc3-compact,57,57,1.5028552453898163,10.303787342593923,8,49,57,1.9497055006442305,12.555215787217996,8,49,56,1.5679452816720802,2.6691809624737672,10,46,54,1.5998660613228606,1367057.0055396943,10,44,54,1.5739851646986196,1367462.437185374,7,47,51,1.3828442537107983,2.3448341449742913,6,45
pipeline-emsc1-x-osc3-default,57,57,1.5028177928416524,10.308471014222242,8,49,57,1.9497016968105056,12.587199228971668,8,49,56,1.5670797662258154,2.6796550292017387,10,46,54,1.6000520678707444,1367057.0299605387,10,44,54,1.5740098558949147,1367462.4474484378,7,47,51,1.3815502503405568,2.34735717174594,6,45
pipeline-emsc1-x-x-compact,57,57,1.8417589923056894,13.745995755844248,4,53,57,2.551419193914439,20.460577083261768,6,51,56,1.8267480065602597,7.186230854755153,5,51,54,2.108710343896135,1367064.1996511212,6,48,54,2.2944162108532353,1367467.772692351,5,49,51,1.866967788155671,6.085411620910647,2,49
pipeline-emsc1-x-x-default,57,57,1.98341198475262,14.53607742546686,5,52,57,2.4982840779297115,22.19823725679382,6,51,56,1.9896123497506046,8.031090578225253,6,50,54,2.0605706046952674,1367065.7843252777,6,48,54,2.5246552853358306,1367468.9594682977,5,49,51,1.9104916486936454,6.673841695536598,3,48
pipeline-emsc2-asls-osc1-compact,57,57,1.6835091825154194,10.69601748286998,6,51,57,2.352863076215979,12.97550637518399,8,49,56,1.752888233579304,3.0085474674016015,10,46,54,1.8030933051563403,1376924.297111684,9,45,54,1.9353306060039446,1377332.6553825552,6,48,51,1.4801584273648485,2.687272321237345,6,45
pipeline-emsc2-asls-osc1-default,57,57,1.677824486963205,10.645744912837271,6,51,57,2.34736309903348,12.920532276170162,7,50,56,1.7142025974009112,2.9576874913906184,10,46,54,1.6849459313244919,1376924.2509403364,8,46,54,1.8460940906803773,1377332.6086877033,5,49,51,1.4798691476547483,2.6383122791635367,7,44
pipeline-emsc2-asls-osc2-compact,57,57,1.5758318315518578,10.602620782542967,6,51,57,2.347379306817692,12.882455544858027,7,50,56,1.713210562659039,2.918985201736515,10,46,54,1.7270617312415792,1376446.9688714081,9,45,54,1.879956376723041,1376855.1801781303,6,48,51,1.3981594211413189,2.5940376176111832,6,45
pipeline-emsc2-asls-osc2-default,57,57,1.5788494785782123,10.640514237858596,6,51,57,2.347379306817692,12.927175358663384,8,49,56,1.7204761591096136,2.958853978060305,10,46,54,1.7273657539656901,1376447.3220638568,9,45,54,1.8891354377181298,1376855.532002637,6,48,51,1.3976851515556306,2.6360786667790617,7,44
pipeline-emsc2-asls-osc3-compact,57,57,1.576804403848746,10.602494180479594,6,51,57,2.347379306817692,12.882493571097193,7,50,56,1.7129144948232842,2.9187413898676966,10,46,54,1.7067537827809565,1376446.2765137095,8,46,54,1.851181374255297,1376854.4873536301,5,49,51,1.3979082414878847,2.593569633656724,6,45
pipeline-emsc2-asls-osc3-default,57,57,1.7456258630451333,10.650491710153478,6,51,57,2.3471380169630525,12.938999558054356,7,50,56,1.737705086937733,2.969511775293521,10,46,54,1.755163396859445,1376446.8769038955,8,46,54,1.9314835942463893,1376855.0853030195,5,49,51,1.479918750953034,2.6464706198438,6,45
pipeline-emsc2-asls-x-compact,57,57,2.9823894979376653,10.300730456887383,4,53,57,3.2365434970267133,13.172433250509911,5,52,56,2.5383687874987917,4.80619387097003,6,50,54,2.9573513572213175,976382.2522938626,5,49,54,2.930918690923555,976671.7304020895,4,50,51,2.197229554824449,4.236036330433742,4,47
pipeline-emsc2-asls-x-default,57,57,2.9164420755081957,11.181491573239331,5,52,57,3.4607597035185895,14.165357797256013,4,53,56,2.6393874358230525,5.980568810936232,6,50,54,3.0824064546868812,931535.2826796032,4,50,54,3.1106260945077953,931811.4225055109,3,51,51,2.6610235294964446,5.1393930267420345,4,47
pipeline-emsc2-x-osc1-compact,57,57,1.5800992428276353,10.568841282327904,6,51,57,2.346236321015159,12.819283331937829,7,50,56,1.753846859207933,2.921152114626239,10,46,54,1.729043278965452,1369303.1114163455,9,45,54,1.8567730689255708,1369709.2140105043,5,49,51,1.4829809995016923,2.6031554611046603,6,45
pipeline-emsc2-x-osc1-default,57,57,1.5926210379281063,10.572452267118386,6,51,57,2.3462125411603627,12.823989101502313,7,50,56,1.7538482389363441,2.924646099845105,10,46,54,1.729043278965452,1369303.1134559242,9,45,54,1.8567730689255708,1369709.2152926805,5,49,51,1.4818507170693165,2.607115712401117,6,45
pipeline-emsc2-x-osc2-compact,57,57,1.5761085824472805,10.4278102548714,6,51,57,2.346171925730306,12.664993191635858,7,50,56,1.753828460701314,2.7808900211893866,10,46,54,1.7290010906285913,1369302.9915866419,9,45,54,1.8567277126406778,1369709.0933513015,5,49,51,1.487238378496896,2.4713710144110403,6,45
pipeline-emsc2-x-osc2-default,57,57,1.5944008618857455,10.475393286190535,6,51,57,2.3460499505718166,12.718773827286721,7,50,56,1.751034966709268,2.8284613742767557,10,46,54,1.7275327847593465,1369303.0304069263,9,45,54,1.8538701382281468,1369709.1304611126,5,49,51,1.4817277039596313,2.5121143734686378,6,45
pipeline-emsc2-x-osc3-compact,57,57,1.576088612409488,10.428542085693454,6,51,57,2.3461359057822047,12.661963159457091,7,50,56,1.754306710305375,2.7807722742334007,10,46,54,1.7294641886556352,1369302.9895481823,9,45,54,1.8572166696158385,1369709.093722936,5,49,51,1.4871590815485327,2.472216004409684,6,45
pipeline-emsc2-x-osc3-default,57,57,1.5760835113875746,10.391435497434127,6,51,57,2.346135558990313,12.621637678489863,7,50,56,1.7543067014297575,2.743222282233032,10,46,54,1.729464323927621,1369302.9567112941,9,45,54,1.8572168172439532,1369709.0591720587,5,49,51,1.4816996106662064,2.4329885475160333,6,45
pipeline-emsc2-x-x-compact,57,57,2.7492649930218924,11.975516751323008,5,52,57,3.1997472885332017,15.452569695740518,5,52,56,2.54495213980484,4.411916936101,7,49,54,2.8766765424081906,1369305.2134348894,6,48,54,2.6846872596032685,1369711.0544278712,4,50,51,2.0722544023541296,3.6303220934490867,5,46
pipeline-emsc2-x-x-default,57,57,2.9223194623585127,13.06255753173257,5,52,57,3.2480064850151744,16.67273774170174,4,53,56,2.537570906438294,5.576231380281172,7,49,54,3.001760017584842,1369306.2891781481,6,48,54,3.0248437570936546,1369712.3578106007,4,50,51,2.196441671265939,4.4545405826219255,6,45
pipeline-msc-asls-osc1-compact,57,57,1.4190525408984147,4.279383612049612,9,48,57,1.9257229187794245,5.351311833561488,10,47,56,1.4865222535335263,1.8453275291363949,11,45,54,1.5120585742398518,423527.4544438624,12,42,54,1.6122877098450128,423653.06412955944,10,44,51,1.3769866938365776,1.7369307600013864,13,38
