variant,wins,median_rel_rmsep,mean_rel_rmsep,mean_fit_time_s
ActiveSuperblock-deep3-numpy,11,0.9983590757740134,1.0087043986461068,1.9230884295791744
PLS-standard-numpy,0,1.0,1.0,0.009504045700305084
AOM-explorer-deep3-numpy,7,1.0000000000000238,1.0135527671847488,0.42711847121072904
AOM-default-nipals-adjoint-numpy,8,1.0182974403252363,1.0702986891513648,6.027751219850143
AOM-extended-nipals-adjoint-numpy,8,1.0182974403252363,1.0702986891513648,6.215141310549916
nirs4all-AOM-PLS-default,7,1.027168417217511,1.079055613577917,0.4158705746841932
AOM-deep3-nipals-adjoint-numpy,7,1.0271684172175137,1.0805474632216427,6.8005958595793725
AOM-deep4-nipals-adjoint-numpy,7,1.0271684172175137,1.0805474632216427,8.298532488736543
