task,model,n_train,n_test,n_features,folded_operator,materialized_operator,operator_agreement,folded_hyperparameter,materialized_hyperparameter,hyperparameter_agreement,repeat_selection_agreement,folded_test_rmse,materialized_test_rmse,max_abs_cv_score_diff,max_rel_cv_score_diff,max_abs_prediction_diff,max_rel_prediction_diff,max_abs_coef_diff,max_rel_coef_diff,folded_winner_margin,materialized_winner_margin,folded_median_time_s,materialized_median_time_s,materialized_over_folded_time,parity_ok
Beer_OriginalExtract_60_KS,PLS,40,20,576,sg_smooth_w21_p3,sg_smooth_w21_p3,True,4,4,True,True,0.2595054322300932,0.2595054322300939,5.10702591327572e-15,1.6583113634467556e-15,7.105427357601002e-15,4.43629754401418e-16,1.0103029524088925e-14,2.8018122610575075e-15,0.008528030483346716,0.008528030483345439,0.5663234659987211,0.31713771100112353,0.5599939434645284,True
Beer_OriginalExtract_60_KS,Ridge,40,20,576,sg_smooth_w21_p3,sg_smooth_w21_p3,True,0.0030821800019722773,0.0030821800019722773,True,True,0.248551950942724,0.24855195094272572,1.5543122344752192e-15,5.047069195372064e-16,1.865174681370263e-14,1.1643637609772874e-15,3.0808688933348094e-14,8.41115722845823e-15,0.0023515815574859933,0.002351581557486049,0.5702945450011612,0.06841655000062019,0.11996704264544716,True
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,64,16,700,sg_d1_w21_p3,sg_d1_w21_p3,True,15,15,True,True,0.026516601764601768,0.026516601764596696,2.3196722320761864e-14,2.3196722320761864e-14,3.1530333899354446e-14,8.363000284433901e-15,2.0907942044345873e-11,6.10975574022277e-13,0.000199294808306133,0.00019929480831348476,0.7131425469997339,0.4205438299995876,0.5897051462836708,True
Corn_Oil_80_ZhengChenPelegYbaseSplit,Ridge,64,16,700,sg_smooth_w11_p2,sg_smooth_w11_p2,True,9.807582958300963e-07,9.807582958300963e-07,True,True,0.0398594825002126,0.03985948248555616,1.4026613204265459e-11,1.4026613204265459e-11,1.1641532182693481e-10,3.1072912062332567e-11,2.9902600839903926e-08,1.2551941349352959e-09,0.001976599739264985,0.001976599740606294,1.0813705879991176,0.09398933000011311,0.08691685444674754,True
An_spxyG70_30_byCultivar_MicroNIR,PLS,81,35,125,sg_smooth_w21_p3,sg_smooth_w21_p3,True,7,7,True,True,3.6899379196834117,3.6899379196834117,1.4921397450962104e-13,3.4758821293348106e-14,3.9968028886505635e-14,3.900045628760144e-15,2.1032064978498966e-12,1.3148329355802084e-14,0.03419547230296294,0.03419547230296116,0.15042025900038425,0.08782388399959018,0.5838567529614866,True
An_spxyG70_30_byCultivar_MicroNIR,Ridge,81,35,125,sg_smooth_w11_p2,sg_smooth_w11_p2,True,1.2825484171278292e-07,1.2825484171278292e-07,True,True,3.906262703555426,3.906262702554922,2.1804869021480044e-09,5.480295691931124e-10,6.549412745471273e-08,4.469836626430252e-09,9.557793191561359e-06,2.7645451404934196e-09,0.018514728422177384,0.01851472672683263,0.26665024499925494,0.04201137900054164,0.15755237352457346,True
DIESEL_bp50_246_hla-b,PLS,133,113,401,detrend_d2,detrend_d2,True,12,12,True,True,3.1039984195950674,3.103998419595059,2.2470914018413168e-13,1.4224813272365312e-14,6.821210263296962e-13,2.3881664549261616e-15,9.55765244725626e-10,1.0788546245464513e-13,0.004064804881676931,0.004064804881712014,0.41026229800081637,0.24379463699915505,0.5942408995102687,True
DIESEL_bp50_246_hla-b,Ridge,133,113,401,sg_smooth_w21_p3,sg_smooth_w21_p3,True,3.826426623795428e-09,3.826426623795428e-09,True,True,2.5884718768022745,2.588471877189617,2.86029910867569e-09,1.716755088708672e-10,6.310813205345767e-09,2.191373532527286e-11,1.2129659808124416e-05,8.059264351727049e-10,0.0005024698102729097,0.0005024699326652282,1.278704263999316,0.09420538800077338,0.07367253762502803,True
