task,model,mode,operator_index,operator,grid_index,hyperparameter,cv_rmse_mean
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,3,4,0.8605446003283168
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,4,5,0.8456245070704485
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,5,6,0.8448295350380052
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,6,7,0.8487798392023661
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,7,8,0.847286344866091
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,8,9,0.8435451396848779
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,9,10,0.8437276484362556
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,10,11,0.8433276675548085
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,11,12,0.8435262551112259
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,12,13,0.8436440344263983
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,13,14,0.8440279715425593
Beer_OriginalExtract_60_KS,PLS,folded,4,sg_d1_w21_p3,14,15,0.8440522154955428
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,0,1,2.638742079950648
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,1,2,2.7888282657491654
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,2,3,2.586479321684738
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,3,4,2.4632355256161005
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,4,5,2.449849247050496
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,5,6,2.441026803739198
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,6,7,2.4355553393825677
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,7,8,2.4313101151441074
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,8,9,2.4287745554037152
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,9,10,2.427414135851517
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,10,11,2.427763534715572
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,11,12,2.427867912890511
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,12,13,2.4279192009032355
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,13,14,2.4279140615405543
Beer_OriginalExtract_60_KS,PLS,folded,5,sg_d2_w11_p2,14,15,2.4279184479431373
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,0,1,0.722100904580371
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,1,2,0.6355610643077902
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,2,3,0.6272593127747823
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,3,4,0.6291729892810057
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,4,5,0.6286507084166338
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,5,6,0.6288761105691855
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,6,7,0.6287521493341999
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,7,8,0.6288114895268626
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,8,9,0.6288223237561923
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,9,10,0.6288292861630339
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,10,11,0.6288332478945483
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,11,12,0.6288338118861938
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,12,13,0.6288337951282607
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,13,14,0.6288338311601113
Beer_OriginalExtract_60_KS,PLS,folded,6,detrend_d1,14,15,0.6288338958156763
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,0,1,0.7272829526384486
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,1,2,0.6382285221956361
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,2,3,0.6318771119632689
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,3,4,0.6333813809884198
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,4,5,0.6325469313539976
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,5,6,0.6327502616608707
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,6,7,0.6326707668456736
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,7,8,0.6327565732026778
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,8,9,0.6327665044125872
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,9,10,0.6327764306539996
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,10,11,0.6327819552120605
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,11,12,0.6327828123573717
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,12,13,0.6327829203050028
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,13,14,0.6327829866264951
Beer_OriginalExtract_60_KS,PLS,folded,7,detrend_d2,14,15,0.6327830392123046
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,0,1,2.930598987938433
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,1,2,3.010358199518273
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,2,3,3.051855686621239
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,3,4,3.061124480444063
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,4,5,3.073664585351349
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,5,6,3.078444620564529
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,6,7,3.078839181818504
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,7,8,3.0793597893725666
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,8,9,3.079604157000116
