aom_variant,rmsep_mean,rmsep_median,n_runs
AOM-compact-cv3-numpy,755.9951084205954,0.8038818165706888,57
AOM-compact-cv5-numpy,755.068403487823,0.7465822035673529,57
AOM-compact-cv5-oneSE-numpy,760.5589629902379,0.8722799008893388,57
AOM-compact-oneSEcv3-numpy,761.2256998226344,0.9220418586300118,57
AOM-compact-press-numpy,835.5711408466275,1.2522389458002772,57
AOM-compact-repcv3-numpy,757.1050823811132,0.7914811275013638,57
AOM-compact-repcv3-oneSE-numpy,760.768384404366,0.8722799008893388,57
AOM-compact-simpls-covariance-numpy,776.1245130261963,0.9473565532735878,57
AOM-default-nipals-adjoint-numpy,796.2556847939578,0.7168578848596983,57
AOM-default-oneSEcv3-numpy,760.8072009746037,0.8576500460277494,57
AOM-default-simpls-covariance-numpy,770.1955913847214,0.7268158855373635,57
AOM-explorer-simpls-numpy,796.6763231402665,0.7946789148284525,57
AOM-family-pruned-cv3-numpy,755.6347503993435,0.7981131551352406,57
AOM-family-pruned-numpy,801.8574513795296,0.9473565532735876,57
AOM-response-dedup-cv3-numpy,754.8362935096749,0.7496302537427638,57
AOM-response-dedup-numpy,779.6110166766236,0.726808772273078,57
ASLS-AOM-compact-cv3-numpy,752.0920960513655,0.7804626452849249,57
ASLS-AOM-compact-cv5-numpy,758.2264265452385,0.7804626452849249,57
ASLS-AOM-compact-repcv3-numpy,758.5337132058681,0.7804626452849249,57
ASLS-AOM-compact-repcv3-oneSE-numpy,757.6145343214598,0.7578697550591629,57
ASLS-AOM-family-pruned-cv3-numpy,752.7665064854094,0.877210263357179,57
ASLS-AOM-response-dedup-cv3-numpy,764.6642624431605,0.7804626452849248,57
ActiveSuperblock-deep3-numpy,778.5081712478028,0.9458850335283312,57
ActiveSuperblock-simpls-numpy,775.3527410606556,0.9302343998568668,57
LocalSNV-w101-AOM-compact,789.0768838940379,1.0875048741591131,57
LocalSNV-w31-AOM-compact,817.2287554276492,1.4979989693061848,57
LocalSNV-w51-AOM-compact,799.2425798882622,0.9039323741505452,57
MSC-AOM-compact-numpy,784.4401082456975,0.8781600977777931,57
MSC-AOM-default-numpy,770.6005163825538,0.9071242544527776,57
MSC-OSC-AOM-default-numpy,762.6424007368928,1.816289058498309,57
OSC-AOM-compact-numpy,768.8744287779783,1.780355071540715,57
OSC-AOM-default-numpy,768.7347054735244,1.8470784796165665,57
PLS-standard-numpy,762.4235898465711,0.9263079540752552,57
POP-K3-numpy,769.4730372893796,1.8698814156659316,57
POP-K5-numpy,769.4637158070277,1.805172142483089,57
POP-K8-cv3-numpy,767.8153286143348,1.8979803703788427,57
POP-K8-cv3-oneSE-numpy,767.8153817067576,1.8979803703788427,57
POP-K8-numpy,769.4649789221347,1.805172142483089,57
POP-nipals-adjoint-numpy,769.4243980351611,1.805172142483089,57
POP-simpls-covariance-numpy,772.7147150867689,1.805172142483089,57
SNV-AOM-compact-cv3-numpy,784.8439790984412,0.7754013927489892,57
SNV-AOM-compact-numpy,791.3380241219483,1.0704203982608196,57
SNV-AOM-compact-oneSE-numpy,757.5371872915732,0.8029304964943994,57
SNV-AOM-compact-repcv3-numpy,754.2414837818337,0.7384119838475177,57
SNV-AOM-default-numpy,774.9889498863708,1.0704203982608196,57
SNV-ASLS-AOM-compact-repcv3-numpy,770.3231083051242,0.8939438759350521,57
SNV-OSC-AOM-default-numpy,768.4176294148782,1.8156368901157336,57
Superblock-raw-simpls-numpy,817.2258005779904,0.9472775682207678,57
nirs4all-AOM-PLS-default,796.255684793957,0.7168578848596966,57
