dataset,variant,rmsep,ratio_meaningful
Brix_spxy70,AOM-compact-cv3-numpy,1.244817835589287,True
Brix_spxy70,AOM-compact-cv5-numpy,1.3150403758467457,True
Brix_spxy70,AOM-compact-simpls-covariance-numpy,2.0181761646620657,True
Brix_spxy70,AOM-default-nipals-adjoint-numpy,2.018176164662046,True
Brix_spxy70,ASLS-AOM-compact-cv5-numpy,0.9499298345264274,True
Brix_spxy70,PLS-standard-numpy,1.7103507371910391,True
Brix_spxy70,POP-nipals-adjoint-numpy,1.3959544228392922,True
Brix_spxy70,POP-simpls-covariance-numpy,1.4149764470205317,True
Brix_spxy70,nirs4all-AOM-PLS-default,2.0181761646620417,True
C_woOutlier,AOM-compact-cv3-numpy,2.5781812668491937,True
C_woOutlier,AOM-compact-cv5-numpy,2.5781812668491937,True
C_woOutlier,AOM-compact-simpls-covariance-numpy,2.5781812668491564,True
C_woOutlier,AOM-default-nipals-adjoint-numpy,2.327531223099338,True
C_woOutlier,ASLS-AOM-compact-cv5-numpy,2.4366343292371084,True
C_woOutlier,PLS-standard-numpy,1.6018074773862532,True
C_woOutlier,POP-nipals-adjoint-numpy,2.759043605194155,True
C_woOutlier,POP-simpls-covariance-numpy,2.759043605194155,True
C_woOutlier,nirs4all-AOM-PLS-default,2.3275312230993226,True
FinalScore_grp70_30_scoreQ,AOM-compact-cv3-numpy,,False
FinalScore_grp70_30_scoreQ,AOM-compact-cv5-numpy,,False
FinalScore_grp70_30_scoreQ,AOM-compact-simpls-covariance-numpy,,False
FinalScore_grp70_30_scoreQ,AOM-default-nipals-adjoint-numpy,,False
FinalScore_grp70_30_scoreQ,ASLS-AOM-compact-cv5-numpy,,False
FinalScore_grp70_30_scoreQ,PLS-standard-numpy,,False
FinalScore_grp70_30_scoreQ,POP-nipals-adjoint-numpy,,False
FinalScore_grp70_30_scoreQ,POP-simpls-covariance-numpy,,False
FinalScore_grp70_30_scoreQ,nirs4all-AOM-PLS-default,,False
LMA_spxyG70_30_byCultivar_ASD,AOM-compact-cv3-numpy,0.3057637406893341,True
LMA_spxyG70_30_byCultivar_ASD,AOM-compact-cv5-numpy,0.3032142789905722,True
LMA_spxyG70_30_byCultivar_ASD,AOM-compact-simpls-covariance-numpy,0.3098774365028783,True
LMA_spxyG70_30_byCultivar_ASD,AOM-default-nipals-adjoint-numpy,0.3099387942566557,True
LMA_spxyG70_30_byCultivar_ASD,ASLS-AOM-compact-cv5-numpy,0.3042246407702643,True
LMA_spxyG70_30_byCultivar_ASD,PLS-standard-numpy,0.3177031876622875,True
LMA_spxyG70_30_byCultivar_ASD,POP-nipals-adjoint-numpy,0.7766662654406996,True
LMA_spxyG70_30_byCultivar_ASD,POP-simpls-covariance-numpy,0.7766662654406996,True
LMA_spxyG70_30_byCultivar_ASD,nirs4all-AOM-PLS-default,0.309938794256656,True
N_wOutlier,AOM-compact-cv3-numpy,0.3575946925012694,True
