Cartilage thickness (mm)
0.37000000
0.37000000
0.43000000
0.49000000
0.50000000
0.50000000
0.53000000
0.56000000
0.56000000
0.59000000
0.59000000
0.59000000
0.63000000
0.64000000
0.64000000
0.66000000
0.67000000
0.67000000
0.69000000
0.70000000
0.71000000
0.74000000
0.75000000
0.77000000
0.78000000
0.79000000
0.80000000
0.81000000
0.81000000
0.82000000
0.84000000
0.84000000
0.85000000
0.85000000
0.85000000
0.86000000
0.86000000
0.87000000
0.87000000
0.88000000
0.89000000
0.90000000
0.90000000
0.91000000
0.91000000
0.95000000
0.95000000
0.95000000
0.96000000
0.96000000
0.96000000
0.97000000
0.97000000
0.97000000
0.98000000
0.98000000
0.98000000
0.99000000
0.99000000
0.99000000
1.02000000
1.03000000
1.03000000
1.05000000
1.05000000
1.05000000
1.06000000
1.06000000
1.06000000
1.07000000
1.07000000
1.08000000
1.08000000
1.11000000
1.11000000
1.12000000
1.13000000
1.13000000
1.14000000
1.16000000
1.17000000
1.19000000
1.23000000
1.27000000
1.29000000
1.29000000
1.31000000
1.36000000
1.46000000
1.47000000
