Cartilage thickness (mm)
0.48000000
0.52000000
0.59000000
0.63000000
0.65000000
0.68000000
0.73000000
0.77000000
0.81000000
0.83000000
0.85000000
0.86000000
0.88000000
0.90000000
0.92000000
0.96000000
0.96000000
0.97000000
0.98000000
1.02000000
1.05000000
1.05000000
1.07000000
1.08000000
1.11000000
1.14000000
1.18000000
1.27000000
1.35000000
1.49000000
