Nitrogen (% dry mass)
4.74
4.74
4.465
2.165
2.66
4.775
2.48
1.14
4.635
2.74
4.705
3.925
2.02
2.725
3.585
2.505
4.195
1.425
6.075
5.775
2.625
1.52
2.25
2.64
5.21
4.615
2.685
0.82
2.16
3.885
3.66
3.97
1.13
4.505
5.29
2.485
1.39
3.52
4.0425
2.63
3.01
2.24
2.095
2.7
2.68
3.86
3.545
2.655
4.935
3.675
1.55
3.82
5
1.06
0.85
4.72
5.065
2.49
3.73
3.16
2.955
3.295
1.5125
1.625
2.54
4.315
1.31
4.75
2.2
4.76
1.815
1.265
4.165
0.905
3.205
2.59
5.285
1.97
2.825
0.705
3.56
2.53
4.28
1.23
5.16
2.565
2.275
5.29
5.16
5.385
