Nitrogen (% dry mass)
2.355
2.28
5.28
2.41
3.55
2.515
1.225
2.79
3.425
2.97
1.965
5.72
2.093333333
2.595
5.625
3.11
2.47
2.93
1.885
1.545
4.98
5.03
5.545
2.385
1.11
3.18
2.61
4.63
3.685
4.7
