task,seed,cv,model,n_train,n_test,n_features,folded_operator,materialized_operator,operator_agreement,folded_hyperparameter,materialized_hyperparameter,hyperparameter_agreement,folded_test_rmse,materialized_test_rmse,max_abs_cv_score_diff,max_rel_cv_score_diff,max_abs_prediction_diff,max_rel_prediction_diff,max_abs_coef_diff,max_rel_coef_diff,folded_winner_margin,materialized_winner_margin,folded_time_s,materialized_time_s,materialized_over_folded_time,execution_order,parity_ok
ALPINE_P_291_KS,0,3,PLS,247,44,2151,detrend_d1,detrend_d1,True,20.0,20.0,True,0.06443490344907696,0.06443490344907665,3.3306690738754696e-15,3.3306690738754696e-15,7.965850201685498e-15,7.965850201685498e-15,4.813476006670925e-13,4.813476006670925e-13,0.0001454657806566062,0.00014546578065663396,5.473465167999166,3.3539669339988905,0.6127684804880084,materialized>folded,True
ALPINE_P_291_KS,0,3,Ridge,247,44,2151,detrend_d1,detrend_d1,True,0.00466061407910827,0.00466061407910827,True,0.060765777716153935,0.06076577771614766,2.6070035019643e-11,2.6070035019643e-11,1.1404210908949608e-12,1.1404210908949608e-12,6.300293620142838e-12,6.207908653861117e-12,0.00041955213313954465,0.00041955213318609075,14.580711308999525,0.9338211750000482,0.06404496702596903,folded>materialized,True
ALPINE_P_291_KS,1,3,PLS,247,44,2151,sg_smooth_w11_p2,sg_smooth_w11_p2,True,21.0,21.0,True,0.06010981587917257,0.060109815879172815,5.620504062164855e-15,5.620504062164855e-15,2.55351295663786e-15,2.55351295663786e-15,3.927067004916296e-14,3.927067004916296e-14,0.00023333249595983152,0.00023333249595992867,2.9690652400004183,1.7540188429993577,0.5907646687477675,folded>materialized,True
ALPINE_P_291_KS,1,3,Ridge,247,44,2151,detrend_d1,detrend_d1,True,0.008191078762380611,0.008191078762380611,True,0.060200038857082125,0.06020003885711891,1.449007580589523e-11,1.449007580589523e-11,1.1013412404281553e-12,1.1013412404281553e-12,3.166245043928484e-12,3.166245043928484e-12,0.0002148461774993532,0.00021484617749412127,7.567824400000973,0.5907482359998539,0.07806051049490234,materialized>folded,True
ALPINE_P_291_KS,2,3,PLS,247,44,2151,identity,identity,True,21.0,21.0,True,0.06271601869000308,0.06271601869000326,3.941291737419306e-15,3.941291737419306e-15,2.9698465908722937e-15,2.9698465908722937e-15,1.1299294833122531e-13,1.1299294833122531e-13,0.00011083651322559007,0.00011083651322568722,9.52747415399972,6.037364384001194,0.6336794292395591,materialized>folded,True
ALPINE_P_291_KS,2,3,Ridge,247,44,2151,detrend_d2,detrend_d2,True,0.00466061407910827,0.00466061407910827,True,0.059174144379760235,0.059174144379737226,3.1136204725612515e-11,3.1136204725612515e-11,6.590283874174929e-13,6.590283874174929e-13,1.9076962232134065e-12,1.6711267657022994e-12,0.0002963383988384971,0.0002963383988248691,25.902964585000518,1.8535927750017436,0.07155909775960907,folded>materialized,True
An_spxyG70_30_byCultivar_ASD,0,3,PLS,78,34,2101,sg_smooth_w21_p3,sg_smooth_w21_p3,True,5.0,5.0,True,3.9246641270925373,3.9246641270925346,3.8813396940895473e-13,5.380017252844928e-14,2.3092638912203256e-14,2.2631048660421515e-15,3.774758283725532e-15,2.1610425481649372e-15,0.0003637750494132064,0.00036377504941453864,4.2947140489995945,2.4214879989995097,0.5638298548802261,folded>materialized,True
An_spxyG70_30_byCultivar_ASD,0,3,Ridge,78,34,2101,identity,identity,True,0.19310147496220903,0.19310147496220903,True,3.7384267472738677,3.7384267472738384,1.936939497682033e-10,2.40802554917193e-11,5.258016244624741e-13,5.0096447514446354e-14,8.870681966755001e-14,6.042078626008387e-14,4.7042537417052444e-05,4.7042537445030064e-05,3.826655397999275,0.38127248300042993,0.0996359596946655,materialized>folded,True
An_spxyG70_30_byCultivar_ASD,1,3,PLS,78,34,2101,identity,identity,True,5.0,5.0,True,3.925501057800156,3.92550105780016,4.2543746303636e-13,5.992403251354826e-14,3.8191672047105385e-14,3.741066924784793e-15,3.1086244689504383e-15,1.7674433415933045e-15,4.784282996617151e-05,4.7842829966615597e-05,4.662343867001255,3.0525099749993387,0.6547157528650208,materialized>folded,True
An_spxyG70_30_byCultivar_ASD,1,3,Ridge,78,34,2101,identity,identity,True,0.19310147496220903,0.19310147496220903,True,3.7384267472738677,3.7384267472738384,2.837792223431279e-10,3.6947207481964897e-11,5.258016244624741e-13,5.0096447514446354e-14,8.870681966755001e-14,6.042078626008387e-14,0.00030745172788204655,0.000307451727879382,2.19754510599887,0.2287249540004268,0.1040820292498444,folded>materialized,True
An_spxyG70_30_byCultivar_ASD,2,3,PLS,78,34,2101,fd_d1,fd_d1,True,5.0,5.0,True,3.767457343281689,3.7674573432816887,1.4654943925052066e-13,2.100620911615824e-14,1.865174681370263e-14,1.777089483776118e-15,2.780886632081092e-12,2.4962147862230233e-14,0.010372781409754506,0.010372781409751841,9.377270713999678,4.738520492001044,0.5053197925625341,folded>materialized,True
An_spxyG70_30_byCultivar_ASD,2,3,Ridge,78,34,2101,identity,identity,True,0.10987215225407997,0.10987215225407997,True,3.800628666509356,3.8006286665091547,2.4923707542257034e-10,3.5706252170207623e-11,2.2168933355715126e-12,2.0352615079440064e-13,2.2160051571518125e-13,1.4404588808424493e-13,0.0004605707119842428,0.0004605707118283675,7.81924111599983,0.7513634599999932,0.09609160900059006,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR,0,3,PLS,81,35,125,detrend_d1,detrend_d1,True,6.0,6.0,True,3.61939867371316,3.6193986737131545,2.239985974483716e-12,4.4102597782537805e-13,4.440892098500626e-14,4.2304948431491285e-15,9.173106718662893e-12,5.108444865042799e-14,0.00695199128068591,0.006951991280697456,0.4400512959982734,0.1628824760009593,0.37014429336346816,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR,0,3,Ridge,81,35,125,detrend_d1,detrend_d1,True,2.0518962684589044e-05,2.0518962684589044e-05,True,3.430805580832829,3.4308055808327156,1.125335824525564e-09,2.629945531605203e-10,1.715783071176702e-11,1.5722762496109352e-12,4.737046310765436e-10,7.703689404672913e-13,0.0005717706168972825,0.0005717706174230841,0.37800499299919466,0.04026806300134922,0.10652786007362344,folded>materialized,True
An_spxyG70_30_byCultivar_MicroNIR,1,3,PLS,81,35,125,sg_d1_w11_p2,sg_d1_w11_p2,True,5.0,5.0,True,3.4252436646431494,3.4252436646431508,3.7339020764193265e-12,6.957099186556305e-13,3.6415315207705135e-14,3.4657002308831624e-15,2.05702122002549e-12,1.2323148210559133e-14,0.0010949075799548957,0.0010949075799548957,0.29468940700098756,0.1762991219984542,0.598254018672152,folded>materialized,True
An_spxyG70_30_byCultivar_MicroNIR,1,3,Ridge,81,35,125,detrend_d2,detrend_d2,True,3.779736496301698e-06,3.779736496301698e-06,True,3.573324875336413,3.573324875334141,2.0801720346241837e-09,5.049024930894123e-10,6.09698957987348e-11,4.974219002482578e-12,5.188695695323986e-09,4.1078930234310746e-12,0.010817931900737765,0.01081793189974567,0.2637555170003907,0.05436258099871338,0.2061097398718407,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR,2,3,PLS,81,35,125,detrend_d2,detrend_d2,True,5.0,5.0,True,3.525626689488808,3.525626689488803,4.722444657545566e-12,7.931555028468886e-13,3.2862601528904634e-14,3.1835280234070467e-15,4.806821607417078e-12,2.5364788601803855e-14,0.0539415143412576,0.05394151434125716,0.63343359800092,0.3550602010000148,0.5605326306033723,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR,2,3,Ridge,81,35,125,detrend_d2,detrend_d2,True,0.0001113907887662313,0.0001113907887662313,True,3.3798035121495964,3.3798035121494596,2.3201245369364187e-09,4.601275352878e-10,3.4994229736184934e-12,3.5912493093424986e-13,3.680611371237319e-11,1.534550989607031e-13,0.01212942051195487,0.012129420511965971,0.40112574900012987,0.05699611199997889,0.1420903847286065,folded>materialized,True
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0,3,PLS,80,35,276,fd_d1,fd_d1,True,9.0,9.0,True,3.8018856192510464,3.8018856192510446,4.005684672847565e-13,7.007524386147829e-14,8.348877145181177e-14,5.801193606145984e-15,5.489653176482534e-11,7.781032274593345e-14,0.008088903894380106,0.008088903894374777,0.9766725240006053,0.32385005300056946,0.33158509637808625,folded>materialized,True
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0,3,Ridge,80,35,276,detrend_d1,detrend_d1,True,1.8378482530909068e-05,1.8378482530909068e-05,True,4.207648524981581,4.207648524984411,6.771596616772513e-10,1.4023946916080202e-10,8.36735125631094e-11,5.887022532717951e-12,3.238596946175676e-09,5.3140275580554175e-12,0.017100880506065064,0.017100880502269433,0.4617962089996581,0.059991531999912695,0.12990910455905694,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,1,3,PLS,80,35,276,fd_d1,fd_d1,True,8.0,8.0,True,3.818166551599643,3.818166551599647,2.2382096176443156e-13,4.182921600095986e-14,8.260059303211165e-14,5.79731127108489e-15,3.8060221640989766e-11,6.988581719428556e-14,0.05545549626415225,0.055455496264137594,0.5934691679995012,0.3277961210005742,0.5523389228551292,materialized>folded,True
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,1,3,Ridge,80,35,276,detrend_d1,detrend_d1,True,5.6768258078571686e-05,5.6768258078571686e-05,True,3.977389771136721,3.9773897711376205,6.261631213533292e-10,1.281142088159468e-10,2.546585164964199e-11,1.852225859426773e-12,6.57905729894992e-10,1.983421932343911e-12,0.0014638412920753296,0.0014638412923813071,0.519455358000414,0.06209778799893684,0.11954403211466605,folded>materialized,True
