cv,model,n_runs,n_tasks,n_seeds,selection_agreement,parity_ok,median_folded_time_s,median_materialized_time_s,median_materialized_over_folded_time,total_folded_cpu_s,total_materialized_cpu_s,max_abs_cv_score_diff,max_abs_prediction_diff,max_abs_coef_diff
3,PLS,96,32,3,96,96,1.9534421164999003,1.2032004084994696,0.6294454570649641,273.1339769530041,209.38679054700333,2.7966962079517543e-11,9.470113582210615e-11,4.7621779231121764e-07
3,Ridge,96,32,3,96,96,4.47324615549951,0.5070463935007865,0.1056629066906524,1439.0732600739957,156.67510414600838,4.6204809223127086e-07,4.947185516357422e-06,0.00012488246147768223
5,PLS,96,32,3,96,96,3.993505426000411,2.4229451524997785,0.6159052554709515,539.1354603310047,395.1006117399993,2.0747847884194925e-11,1.0260237104375847e-10,2.5418739824090153e-07
5,Ridge,96,32,3,96,96,10.326087593500233,1.2006358555008774,0.1012182967090382,3222.1635070200064,413.19160317599926,6.962281986488961e-07,1.0102987289428711e-05,0.00028724413186864695
