scope,unit,n,median_ratio,ci95_low,ci95_high,wins,ties,losses,wilcoxon_log_ratio_raw_two_sided_p,sign_raw_two_sided_p
matched_identity,source family,15,0.9687727255533475,0.955001276540937,0.9989546582762434,12,0,3,0.0067138671875,0.03515625
matched_identity,task row,32,0.9743989329275644,0.960736042317867,0.9964825234316341,23,0,9,0.0011443300172686577,0.020061607006937265
broader_archived_default,source family,22,0.9784842856403198,0.8767614070504081,0.9891053760057078,21,0,1,1.430511474609375e-06,1.0967254638671875e-05
broader_archived_default,task row,52,0.9735006203002378,0.9506274987075125,0.9909761845534499,41,0,11,1.044511210749909e-05,3.5887916129517805e-05
