task_id,candidate,reference,ratio,source_family,scope
ALPINE_P_291_KS,0.0603886184767727,0.05981815528316133,1.009536622968578,ALPINE,matched_identity
An_spxyG70_30_byCultivar_ASD,3.7526925317044033,3.8745479657270443,0.9685497675856556,GRAPEVINE_LeafTraits,matched_identity
An_spxyG70_30_byCultivar_MicroNIR,3.540367648263445,3.7035606330099817,0.9559361919737478,GRAPEVINE_LeafTraits,matched_identity
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,4.077408438954787,4.123423482719233,0.9888405728983963,GRAPEVINE_LeafTraits,matched_identity
An_spxyG70_30_byCultivar_NeoSpectra,4.702448718597637,4.858778121266455,0.9678253670435006,GRAPEVINE_LeafTraits,matched_identity
Beef_Marbling_RandomSplit,73.23645091624668,72.70952988472641,1.007246932174581,BEEFMARBLING,matched_identity
Beer_OriginalExtract_60_KS,0.2482790869811052,0.5708336226188918,0.4349412458257822,BEER,matched_identity
Beer_OriginalExtract_60_YbaseSplit,0.2747226723891227,0.5365437797899675,0.5120228446160798,BEER,matched_identity
Biscuit_Fat_40_RandomSplit,0.45246946927531173,0.5004032879569978,0.9042096248460196,BISCUIT,matched_identity
Biscuit_Sucrose_40_RandomSplit,0.9902146476601121,0.9053807504646084,1.0936996917064672,BISCUIT,matched_identity
C_woOutlier,1.909326576586669,2.0648390568258406,0.9246854229509626,COLZA,matched_identity
Ccar_spxyG_block2deg,60.608621769763886,60.608621769809936,0.9999999999992402,ECOSIS_LeafTraits,matched_identity
Corn_Oil_80_ZhengChenPelegYbaseSplit,0.03845308657231993,0.0411483798363538,0.934498192279915,CORN,matched_identity
Corn_Starch_80_ZhengChenPelegYbaseSplit,0.14541012140313805,0.1490614775761708,0.975504360801959,CORN,matched_identity
DIESEL_bp50_246_b-a,2.8200307728824376,2.8299851794399404,0.9964825234316341,DIESEL,matched_identity
DIESEL_bp50_246_hla-b,2.623564001821598,2.6350967458438217,0.9956234077399952,DIESEL,matched_identity
DIESEL_bp50_246_hlb-a,2.9365141070681093,2.8512592095146423,1.0299007881391393,DIESEL,matched_identity
Fv_Fm_grp70_30,0.02996479767582,0.031034369518057933,0.9655358926619861,FUSARIUM,matched_identity
LMA_spxyG70_30_byCultivar_ASD,0.30288142210663976,0.3028814220992026,1.0000000000245548,GRAPEVINE_LeafTraits,matched_identity
N_wOutlier,0.33730563681523834,0.34306438234978304,0.9832138052481555,COLZA,matched_identity
N_woOutlier,0.265903786057194,0.27447488873648257,0.9687727255533475,COLZA,matched_identity
Rd25_CBtestSite,0.22610235206111848,0.22997366406536715,0.9831662811479652,DarkResp,matched_identity
Rd25_GTtestSite,0.19710505780603135,0.19140337502691848,1.0297888309352488,DarkResp,matched_identity
Rd25_XSBNtestSite,0.2616624127385345,0.26166241273686247,1.00000000000639,DarkResp,matched_identity
Rd25_spxy70,0.17467519482668972,0.173875772822168,1.0045976618337698,DarkResp,matched_identity
Rice_Amylose_313_YbasedSplit,1.959775029374258,2.53770640722167,0.772262316790167,AMYLOSE,matched_identity
TIC_spxy70,3.7018697033329047,4.65268690201838,0.7956412673560729,IncombustibleMaterial,matched_identity
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,1.4436397754404302,1.5249435711805506,0.9466840627570381,GRAPEVINE_LeafTraits,matched_identity
brix_groupSampleID_stratDateVar_balRows,3.5861644957561807,3.513070616652475,1.020806265253317,BERRY,matched_identity
grapevine_chloride_556_KS,957.4413600144179,1000.9793730409256,0.9565045852101414,GRAPEVINES,matched_identity
ph_groupSampleID_stratDateVar_balRows,0.34640625074867804,0.3665671424980645,0.9450008213720549,BERRY,matched_identity
ta_groupSampleID_stratDateVar_balRows,1.9907405361276573,2.0453650679800908,0.9732935050531697,BERRY,matched_identity
ALPINE_P_291_KS,0.0603434729965278,0.0606202481875077,0.995434278161914,ALPINE,broader_archived_default
All_manure_CaO_SPXY_strat_Manure_type,7.570662458183208,7.462728843140202,1.0144630224830182,MANURE21,broader_archived_default
All_manure_K2O_SPXY_strat_Manure_type,2.3304245345506924,2.486265851006092,0.9373191260329876,MANURE21,broader_archived_default
All_manure_MgO_SPXY_strat_Manure_type,0.7376199328405435,0.7842438299940223,0.9405492330697276,MANURE21,broader_archived_default
All_manure_P2O5_SPXY_strat_Manure_type,2.470420846247388,2.5462797269615756,0.9702079548012942,MANURE21,broader_archived_default
All_manure_Total_N_SPXY_strat_Manure_type,1.6782987736224555,1.6854143203637502,0.9957781616927528,MANURE21,broader_archived_default
An_spxyG70_30_byCultivar_ASD,3.928009619938069,3.8499469899223944,1.02027628697746,GRAPEVINE_LeafTraits,broader_archived_default
An_spxyG70_30_byCultivar_MicroNIR,3.662824262422927,3.5520207340229017,1.0311945049584585,GRAPEVINE_LeafTraits,broader_archived_default
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,4.020845597078536,4.147904094088579,0.9693680243978829,GRAPEVINE_LeafTraits,broader_archived_default
An_spxyG70_30_byCultivar_NeoSpectra,4.686971712244227,4.867382992180296,0.9629346447103281,GRAPEVINE_LeafTraits,broader_archived_default
Beef_Marbling_RandomSplit,72.13439452555032,72.64004069729812,0.9930390158527732,BEEFMARBLING,broader_archived_default
Beer_OriginalExtract_60_KS,0.2421609969263227,0.5708467429005359,0.4242136789567646,BEER,broader_archived_default
Beer_OriginalExtract_60_YbaseSplit,0.303206748736885,0.5365475089275226,0.5651069918169027,BEER,broader_archived_default
Biscuit_Fat_40_RandomSplit,0.2003844832105738,0.507987352146202,0.3944674653098486,BISCUIT,broader_archived_default
Biscuit_Sucrose_40_RandomSplit,1.0532869504674394,0.9331304738576763,1.128767069532111,BISCUIT,broader_archived_default
C_woOutlier,1.7608898207244148,2.0272812521554964,0.8685967074633368,COLZA,broader_archived_default
Ccar_spxyG_block2deg,60.05350516260569,60.0329584011046,1.0003422580203996,ECOSIS_LeafTraits,broader_archived_default
