Protein (%)
49.36825842
31.72575586
42.94879623
24.21278220
60.11457876
7.76540935
20.64721095
25.81160634
25.82122922
28.41754114
6.11303681
14.80331391
20.33679194
19.26957930
7.55830997
15.07467182
42.39184545
18.35920958
6.27145023
40.06285364
33.93216140
6.24812328
7.92034235
6.95621599
40.90096498
14.12200954
1.25895650
5.91003212
10.66978172
4.46398572
