Protein (%)
41.68523332
42.90113021
16.41733746
6.21643676
14.00299695
9.27257260
32.90977986
19.02858027
5.12846577
11.89857392
8.76544371
14.22381941
15.68272595
12.54442599
4.17593028
23.54969818
31.41540235
40.45665170
24.35238282
14.99839597
2.14204085
20.12981900
9.93123064
22.60837912
27.13314596
10.63837495
7.26150890
4.15723390
20.97983504
28.71590693
22.72746343
17.17904014
10.29938586
14.88433825
20.06751048
33.13984674
6.02743961
17.90813722
47.75213163
35.84466166
17.89942956
19.26312553
5.04928735
5.67466354
10.39496524
5.12854576
11.32948795
10.92353147
27.22780743
61.61034882
7.62584227
41.14562610
10.22869949
14.82550873
7.96658391
17.91062454
12.65541011
19.90697983
15.27459011
10.11336678
25.39846368
31.25119876
32.59645160
24.86113209
10.34306889
53.72478202
18.01203030
3.57835515
18.16025741
38.57149482
45.69200104
27.80326302
36.48855425
3.46452339
19.95624797
8.78697940
25.37147370
35.69838275
47.33351132
7.56888090
43.81266469
19.95078987
20.89852363
28.60640035
13.09728129
15.47020776
15.86700812
17.70860311
21.01730429
4.59619064
